--- NAMED RANGES ---,,,
Name,Range (A1 notation),Sheet,
user_custom_box_7,Matrix 4'!C7,Matrix 4,
police_primary,Postals'!G5:G17659,Postals,
user_sel_D10_1,Matrix 1'!#REF!,Matrix 1,
EMSTX_A,Current Station Apparatus'!BI3:BP55,Current Station Apparatus,
TONE_STA10,Sheet26'!G28,Sheet26,
user_running_order_2,Matrix 1'!C27,Matrix 1,
user_running_order_5,Matrix 3'!C6,Matrix 3,
full_assignment_2_MOD,Assignment'!K25,Assignment,
COL_RD_id,raw_data'!C1,raw_data,
unit_list_all,Sheet26'!A3:A1011,Sheet26,
BLADE_1,Current Station Apparatus'!AY3:AY55,Current Station Apparatus,
user_excl_D1_1,Matrix 1'!#REF!,Matrix 1,
COL_RD_cids_availability,raw_data'!X1,raw_data,
LIST_user_pn_2,Sheet46'!L4:L18158,Sheet46,
COL_RD_cids_occupancy,raw_data'!P1,raw_data,
user_hydranted_4,Matrix 2'!F24,Matrix 2,
LIST_station_current_CH,Current Station Apparatus'!BA3:BH14,Current Station Apparatus,
PD_Header,Response Police'!E1:X1,Response Police,
COL_RD_street_2,raw_data'!AD1,raw_data,
TABLE_Response,Response'!A3:B1565,Response,
COL_police_rd,Postals'!K3,Postals,
user_chiefs_1,Matrix 1'!#REF!,Matrix 1,
K9_1,Current Station Apparatus'!X3:X55,Current Station Apparatus,
LIST_user_np_1,Sheet46'!D4:D18158,Sheet46,
BATV_1,Current Station Apparatus'!AM3:AM55,Current Station Apparatus,
mod_offset_9,Assignment'!O51,Assignment,
full_assignment_8_MOD,Assignment'!K75,Assignment,
mod_offset_1,Assignment'!C1,Assignment,
user_recommendation_7,Matrix 4'!C10,Matrix 4,
SpecialService_A,Current Station Apparatus'!E3:J55,Current Station Apparatus,
unit_name_table,Sheet23'!A1:C21,Sheet23,
init_offset_8,Assignment'!H51,Assignment,
user_excl_D6_1,Matrix 1'!#REF!,Matrix 1,
full_assignment_2,Assignment'!I25,Assignment,
Squad_1,Current Station Apparatus'!I3:I55,Current Station Apparatus,
COL_RD_street_1,raw_data'!AC1,raw_data,
ARFF_2,Current Station Apparatus'!O3:O55,Current Station Apparatus,
user_custom_box_8,Matrix 4'!C24,Matrix 4,
user_verbal_2,Matrix 1'!C33:F33,Matrix 1,
TONE_LINKS_1,Tone List'!B2:B15,Tone List,
COL_response_short,ProQA'!F1,ProQA,
COL_RD_reporting_district,raw_data'!AG1,raw_data,
TONE_LIST_1,Tone List'!A2:A15,Tone List,
ROWS_1,Assignment'!A1,Assignment,
COL_notification_group,ProQA'!G1,ProQA,
COL_running_helo,RunningOrderFull'!AM1,RunningOrderFull,
COL_CPR,Priority Group'!H1,Priority Group,
COL_running_emso,RunningOrderFull'!AA1,RunningOrderFull,
user_verbal_4,Matrix 2'!C29:F29,Matrix 2,
ALSTX_3,Current Station Apparatus'!BK3:BK55,Current Station Apparatus,
ProQA Police'!PD_ProQA_Header,ProQA Police'!A2:Z2,ProQA Police,
verbal_assignment_4,Assignment'!D50,Assignment,
COL_fire_due_3,Postals'!#REF!,Postals,
SW_1,Current Station Apparatus'!BS3:BS55,Current Station Apparatus,
COL_RD_box_run_card,raw_data'!N1,raw_data,
COL_box_run_card,Postals'!R3,Postals,
timeNow,Matrix 1'!B2:C2,Matrix 1,
COL_fire_due_9,Postals'!#REF!,Postals,
raw_data,raw_data'!A2:AH17657,raw_data,
Utility_2,Current Station Apparatus'!M3:M55,Current Station Apparatus,
BE_2,Current Station Apparatus'!AB3:AB55,Current Station Apparatus,
Due_12,RunningOrderFull'!M5:M304,RunningOrderFull,
user_district_7,Matrix 4'!F3,Matrix 4,
COL_hydrant_area,Postals'!S3,Postals,
user_excl_D10_1,Matrix 1'!#REF!,Matrix 1,
IncidentType_List,ProQA'!B3:B6655,ProQA,
user_mod_7,Matrix 4'!F8,Matrix 4,
mod_offset_5,Assignment'!I26,Assignment,
TNK_2,Current Station Apparatus'!AD3:AD55,Current Station Apparatus,
Assignment_P_6,Assignment'!M27,Assignment,
COL_RD_cids_class_description,raw_data'!T1,raw_data,
ProQA Police'!PD_TABLE_ProQA_Body,ProQA Police'!A3:C6127,ProQA Police,
Due_9,RunningOrderFull'!J5:J304,RunningOrderFull,
Due_7,RunningOrderFull'!H5:H304,RunningOrderFull,
COL_running_tankers,RunningOrderFull'!AB1,RunningOrderFull,
BoxRunningOrderArray,RunningOrderFull'!B5:U304,RunningOrderFull,
user_sel_D1_1,Matrix 1'!#REF!,Matrix 1,
COL_determinant_text,ProQA'!E1,ProQA,
ALSTX_A,Current Station Apparatus'!BI3:BL55,Current Station Apparatus,
COUNT_OOS,Sheet45'!F3:F14,Sheet45,
fire_district,Postals'!F5:F17659,Postals,
COL_pg_link,Postals'!Q3,Postals,
user_recommendation_3,Matrix 2'!C10,Matrix 2,
ROWS_6,Assignment'!M26,Assignment,
user_response_7,Matrix 4'!E8,Matrix 4,
COUNT_NEW,Sheet45'!E3:E14,Sheet45,
A_Postals,Postals'!C5:AA17659,Postals,
user_rescues_1,Matrix 1'!C17:F17,Matrix 1,
url_base,Sheet26'!G4,Sheet26,
user_response_3,Matrix 2'!E8,Matrix 2,
COL_RD_police_other,raw_data'!J1,raw_data,
user_running_order_4,Matrix 2'!C23,Matrix 2,
COL_RD_cids_bldg_dimensions,raw_data'!R1,raw_data,
mod_offset_6,Assignment'!O26,Assignment,
user_station_prealert_1,Matrix 1'!#REF!,Matrix 1,
UPGRADE_Matrix1,Assignment'!E3:E23,Assignment,
COL_running_wildland,RunningOrderFull'!AF1,RunningOrderFull,
user_response_1,Matrix 1'!E10,Matrix 1,
user_determinant_code_4,Matrix 2'!C25,Matrix 2,
DIVE_1,Current Station Apparatus'!BT3:BT55,Current Station Apparatus,
LIST_station_current_county_BLS,Current Station Apparatus'!BM15:BP43,Current Station Apparatus,
current_assignment_3_MOD,Assignment'!Q3:Q24,Assignment,
Rescue_A,Current Station Apparatus'!G3:H55,Current Station Apparatus,
user_st_2,Matrix 1'!D25,Matrix 1,
BoxRunningOrderFull_Apparatus,RunningOrderFull'!V4:AP4,RunningOrderFull,
url_full,Sheet26'!G12,Sheet26,
user_box_7,Matrix 4'!F5,Matrix 4,
user_determinant_code_2,Matrix 1'!C29,Matrix 1,
CMD_3,Current Station Apparatus'!BC3:BC55,Current Station Apparatus,
HELO_1,Current Station Apparatus'!CE3:CE55,Current Station Apparatus,
user_sel_D3_1,Matrix 1'!#REF!,Matrix 1,
COUNT_CUR,Sheet45'!D3:D14,Sheet45,
COL_RD_cids_class,raw_data'!S1,raw_data,
ProQA Police'!APD_Response_Table,ProQA Police'!C3:Z6127,ProQA Police,
TABLE_priority,Priority Group'!C3:J8,Priority Group,
url_key,Sheet26'!G7,Sheet26,
TONE_LIST_6,Tone List'!K2:K15,Tone List,
TABLE_Postals,Postals'!C5:S17659,Postals,
ARFF_A,Current Station Apparatus'!N3:T55,Current Station Apparatus,
LIST_station_current_DSO_3,Current Station Apparatus'!CC3:CD14,Current Station Apparatus,
current_assignment_3,Assignment'!O3:O24,Assignment,
FireStation9,Current Station Apparatus'!B11:CL11,Current Station Apparatus,
user_box_4,Matrix 2'!F22,Matrix 2,
Assignment_P_4,Assignment'!A27,Assignment,
user_district_2,Matrix 1'!F22,Matrix 1,
RB_1,Current Station Apparatus'!BV3:BV55,Current Station Apparatus,
user_station_prealert_list_1,Matrix 1'!#REF!,Matrix 1,
fire_box_list,Boxes'!D4:D748,Boxes,
COL_police_other,Postals'!J3,Postals,
COUNTY_APPARATUS,Default Station Apparatus'!B15:CL38,Default Station Apparatus,
COL_first_due_lookup,Boxes'!#REF!,Boxes,
COL_police_primary,Postals'!G3,Postals,
COL_RD_cids_transmitted_data,raw_data'!W1,raw_data,
qgis_url,Sheet26'!G1,Sheet26,
user_sel_D6_1,Matrix 1'!#REF!,Matrix 1,
A_Postals_Table,Postals'!C4:AA17659,Postals,
current_prealert_6,Assignment'!P28:P49,Assignment,
FireStation8,Current Station Apparatus'!B10:CL10,Current Station Apparatus,
ProQA Police'!PD_COL_notification_group,ProQA Police'!F1,ProQA Police,
mod_offset_2,Assignment'!I1,Assignment,
current_prealert_5,Assignment'!J28:J49,Assignment,
LIST_station_current_county_R,Current Station Apparatus'!G15:H38,Current Station Apparatus,
FireStationApparatus_original,Default Station Apparatus'!A3:CL43,Default Station Apparatus,
init_offset_3,Assignment'!N1,Assignment,
COL_fire_box,Postals'!E3,Postals,
user_recommendation_1,Matrix 1'!C12,Matrix 1,
full_assignment_7_MOD,Assignment'!E75,Assignment,
user_sel_D7_1,Matrix 1'!#REF!,Matrix 1,
COL_running_rescues,RunningOrderFull'!X1,RunningOrderFull,
user_determinant_code_5,Matrix 3'!C8,Matrix 3,
verbal_assignment_2,Assignment'!J25,Assignment,
Override Other Apparatus'!T_OVR_OTHER,Override Other Apparatus'!D3:CN14,Override Other Apparatus,
user_verbal_6,Matrix 3'!C29:F29,Matrix 3,
COL_running_plane,RunningOrderFull'!AN1,RunningOrderFull,
user_custom_box_6,Matrix 3'!C24,Matrix 3,
BLSTX_A,Current Station Apparatus'!BM3:BP55,Current Station Apparatus,
BLSTX_2,Current Station Apparatus'!BN3:BN55,Current Station Apparatus,
user_mod_4,Matrix 2'!F25,Matrix 2,
Rescue_2,Current Station Apparatus'!H3:H55,Current Station Apparatus,
user_postal_3,Matrix 2'!C3,Matrix 2,
unit_code_table,Sheet26'!C3:D100,Sheet26,
ROW_apparatus_column,RunningOrderFull'!Q3,RunningOrderFull,
user_rec_mod_1,Matrix 1'!#REF!,Matrix 1,
user_running_order_col_1,Matrix 1'!#REF!,Matrix 1,
COL_running_sw,RunningOrderFull'!AK1,RunningOrderFull,
user_running_order_3,Matrix 2'!C6,Matrix 2,
TONE_STA8,Sheet26'!G26,Sheet26,
CMD_4,Current Station Apparatus'!BD3:BD55,Current Station Apparatus,
Squad_2,Current Station Apparatus'!J3:J55,Current Station Apparatus,
ProQA Police'!PD_ProQA_List,ProQA Police'!A3:A6127,ProQA Police,
user_engines_1,Matrix 1'!C15:F15,Matrix 1,
mod_offset_7,Assignment'!C51,Assignment,
unit_prefix_all,Sheet26'!B3:B1011,Sheet26,
user_sel_D2_1,Matrix 1'!#REF!,Matrix 1,
COL_RD_postal_suffix,raw_data'!D1,raw_data,
LIST_station_override_E,Override Core Apparatus'!D3:F14,Override Core Apparatus,
Assignment_P_2,Assignment'!G2,Assignment,
TONE_LINKS_3,Tone List'!F2:F15,Tone List,
url_enc,Sheet26'!G5,Sheet26,
COL_street_low,Postals'!O3,Postals,
COL_postal,Postals'!#REF!,Postals,
user_excl_D14_1,Matrix 1'!#REF!,Matrix 1,
user_sel_D11_1,Matrix 1'!#REF!,Matrix 1,
PLANE_1,Current Station Apparatus'!CI3:CI55,Current Station Apparatus,
user_determinant_code_6,Matrix 3'!C25,Matrix 3,
A_Station_Other_Table_Override,Override Other Apparatus'!A1:CN14,Override Other Apparatus,
user_postal_6,Matrix 3'!C20,Matrix 3,
full_assignment_3,Assignment'!O25,Assignment,
user_postal_8,Matrix 4'!C20,Matrix 4,
user_excl_D3_1,Matrix 1'!#REF!,Matrix 1,
user_excl_D13_1,Matrix 1'!#REF!,Matrix 1,
user_mod_1,Matrix 1'!F10,Matrix 1,
ROWS_4,Assignment'!A26,Assignment,
verbal_assignment_3,Assignment'!P25,Assignment,
user_recommendation_4,Matrix 2'!C27,Matrix 2,
BoxRunningOrderFull_Headings_Lookup,ApparatusTypes'!A1:A240,ApparatusTypes,
COL_OOS,Override Core Apparatus'!C3:C14,Override Core Apparatus,
FireStation22,Current Station Apparatus'!B17:CL17,Current Station Apparatus,
current_assignment_8,Assignment'!I53:I74,Assignment,
current_assignment_1,Assignment'!C3:C24,Assignment,
COL_RD_jurisdiction,raw_data'!K1,raw_data,
T_DEF,Default Station Apparatus'!B3:CL14,Default Station Apparatus,
url_pitch,Sheet26'!G11,Sheet26,
PT_1,Current Station Apparatus'!AE3:AE55,Current Station Apparatus,
user_sel_D9_1,Matrix 1'!#REF!,Matrix 1,
COL_running_brush,RunningOrderFull'!AC1,RunningOrderFull,
user_hydranted_5,Matrix 3'!F7,Matrix 3,
LIST_station_current_R,Current Station Apparatus'!G3:H14,Current Station Apparatus,
user_blstx_1,Matrix 1'!C20:F20,Matrix 1,
init_offset_2,Assignment'!H1,Assignment,
LIST_station_current_ALS,Current Station Apparatus'!BI3:BL14,Current Station Apparatus,
user_recommendation_6,Matrix 3'!C27,Matrix 3,
user_running_order_1,Matrix 1'!C8,Matrix 1,
user_response_2,Matrix 1'!E29,Matrix 1,
full_assignment_6,Assignment'!O50,Assignment,
COL_ROUTINE,Priority Group'!C1,Priority Group,
Engine_3,Current Station Apparatus'!D3:D55,Current Station Apparatus,
user_postal_7,Matrix 4'!C3,Matrix 4,
TONE_STA7,Sheet26'!G25,Sheet26,
ROWS_2,Assignment'!G1,Assignment,
user_verbal_8,Matrix 4'!C29:F29,Matrix 4,
TONE_STA11,Sheet26'!G29,Sheet26,
COL_fire_box_lookup,Boxes'!D1,Boxes,
Table_ProQA,ProQA'!2:6655,ProQA,
user_hydranted_7,Matrix 4'!F7,Matrix 4,
LIST_station_current_county_TNK,Current Station Apparatus'!AC15:AD38,Current Station Apparatus,
user_sel_D13_1,Matrix 1'!#REF!,Matrix 1,
user_determinant_code_8,Matrix 4'!C25,Matrix 4,
TONE_LIST_5,Tone List'!I2:I15,Tone List,
BLSTX_3,Current Station Apparatus'!BO3:BO55,Current Station Apparatus,
ME_1,Current Station Apparatus'!CB3:CB55,Current Station Apparatus,
current_assignment_1_MOD,Assignment'!E3:E24,Assignment,
user_station_prealert_list_2,Matrix 1'!#REF!,Matrix 1,
current_assignment_7,Assignment'!C53:C74,Assignment,
Engine_A,Current Station Apparatus'!B3:D55,Current Station Apparatus,
COL_running_engines,RunningOrderFull'!V1,RunningOrderFull,
verbal_assignment_6,Assignment'!P50,Assignment,
user_excl_D8_1,Matrix 1'!#REF!,Matrix 1,
ROWS_ProQA,ProQA'!A1:A2,ProQA,
user_determinant_code_1,Matrix 1'!C10,Matrix 1,
init_offset_4,Assignment'!B26,Assignment,
COL_running_trucks,RunningOrderFull'!W1,RunningOrderFull,
COL_juris,Postals'!L3,Postals,
FM_1,Current Station Apparatus'!BX3:BX55,Current Station Apparatus,
COUNT_DEF,Sheet45'!C3:C14,Sheet45,
user_district_6,Matrix 3'!F20,Matrix 3,
user_mod_3,Matrix 2'!F8,Matrix 2,
user_sel_D12_1,Matrix 1'!#REF!,Matrix 1,
user_mod_6,Matrix 3'!F25,Matrix 3,
station_apparatus_array_current,Current Station Apparatus'!B3:CL43,Current Station Apparatus,
LIST_station_current_DSO_1,Current Station Apparatus'!N3:Z14,Current Station Apparatus,
TR_1,Current Station Apparatus'!V3:V55,Current Station Apparatus,
MARINE_1,Current Station Apparatus'!BU3:BU55,Current Station Apparatus,
user_recommendation_8,Matrix 4'!C27,Matrix 4,
Truck_2,Current Station Apparatus'!F3:F55,Current Station Apparatus,
Response_List,ProQA'!C3:C6655,ProQA,
unit_code_verbal,Sheet26'!D3:D100,Sheet26,
Override Other Apparatus'!COL_OVR_OTHER,Override Other Apparatus'!B3:B14,Override Other Apparatus,
full_assignment_7,Assignment'!C75,Assignment,
A_ProQA_Table,ProQA'!A3:AC6655,ProQA,
BoxRunningOrderFull_Headings,RunningOrderFull'!4:4,RunningOrderFull,
ROW_ECHO,Priority Group'!A8,Priority Group,
TONE_LINKS_4,Tone List'!H2:H15,Tone List,
ROW_CHARLIE,Priority Group'!A6,Priority Group,
current_prealert_4,Assignment'!D28:D49,Assignment,
user_sel_D4_1,Matrix 1'!#REF!,Matrix 1,
current_assignment_6,Assignment'!O28:O49,Assignment,
ROW_BRAVO,Priority Group'!A5,Priority Group,
COL_fire_due_5,Postals'!#REF!,Postals,
FI_1,Current Station Apparatus'!BZ3:BZ55,Current Station Apparatus,
init_offset_7,Assignment'!B51,Assignment,
COL_RD_postal_pg_link,raw_data'!AE1,raw_data,
LightForce_1,Current Station Apparatus'!K3:K55,Current Station Apparatus,
USARU_1,Current Station Apparatus'!Y3:Y55,Current Station Apparatus,
box_lookup_table,Boxes'!D4:F748,Boxes,
COL_priority,ProQA'!H1,ProQA,
user_st_1,Matrix 1'!D6,Matrix 1,
full_assignment_6_MOD,Assignment'!Q50,Assignment,
tone1_long,Sheet26'!G14,Sheet26,
user_hydranted_3,Matrix 2'!F7,Matrix 2,
COL_RD_postal_number,raw_data'!AA1,raw_data,
verbal_assignment_1,Assignment'!D25,Assignment,
full_assignment_9,Assignment'!O75,Assignment,
PD_Response_Table,Response Police'!B2:Y1366,Response Police,
ARFF_7,Current Station Apparatus'!T3:T55,Current Station Apparatus,
current_assignment_4_MOD,Assignment'!E28:E49,Assignment,
CMD_1,Current Station Apparatus'!BA3:BA55,Current Station Apparatus,
LIST_station_override,Override Core Apparatus'!A3:A14,Override Core Apparatus,
mod_offset_4,Assignment'!C26,Assignment,
COL_running_blstx,RunningOrderFull'!Z1,RunningOrderFull,
user_excl_D12_1,Matrix 1'!#REF!,Matrix 1,
COL_fire_due_4,Postals'!#REF!,Postals,
user_response_5,Matrix 3'!E8,Matrix 3,
full_assignment_8,Assignment'!I75,Assignment,
verbal_assignment_9,Assignment'!P74,Assignment,
LIST_unit_assignment,Assignment'!A3:A23,Assignment,
postal_table,Postals'!C5:AA17659,Postals,
T_OVR,Override Core Apparatus'!D3:CN14,Override Core Apparatus,
user_response_8,Matrix 4'!E25,Matrix 4,
user_district_3,Matrix 2'!F3,Matrix 2,
COL_RD_police_primary,raw_data'!F1,raw_data,
USARATV_1,Current Station Apparatus'!Z3:Z55,Current Station Apparatus,
user_running_order_mod_1,Matrix 1'!#REF!,Matrix 1,
user_recommendation_2,Matrix 1'!C31,Matrix 1,
CMD_2,Current Station Apparatus'!BB3:BB55,Current Station Apparatus,
TONE_LINKS_5,Tone List'!J2:J15,Tone List,
current_prealert_8,Assignment'!J53:J74,Assignment,
A_RAW_DATA,raw_data'!A3:AH17657,raw_data,
user_np_2,Matrix 1'!C25,Matrix 1,
ROW_OMEGA,Priority Group'!A3,Priority Group,
alert2_long,Sheet26'!G18,Sheet26,
COL_RD_postal_text,raw_data'!Y1,raw_data,
current_recommendation_1,Assignment'!B3:B24,Assignment,
Truck_1,Current Station Apparatus'!E3:E55,Current Station Apparatus,
NYPD1013,Sheet26'!G33,Sheet26,
tone1,Sheet26'!G13,Sheet26,
Assignment_P_7,Assignment'!A52,Assignment,
Due_6,RunningOrderFull'!G5:G304,RunningOrderFull,
CMD_6,Current Station Apparatus'!BF3:BF55,Current Station Apparatus,
ALSTX_2,Current Station Apparatus'!BJ3:BJ55,Current Station Apparatus,
COL_fire_due_7,Postals'!#REF!,Postals,
COUNT_ALL,Sheet45'!B3:B14,Sheet45,
user_tankers_1,Matrix 1'!C18:F18,Matrix 1,
ProQA_Header,ProQA'!A2:AC2,ProQA,
BLSTX_1,Current Station Apparatus'!BM3:BM55,Current Station Apparatus,
HazMat_1,Current Station Apparatus'!U3:U55,Current Station Apparatus,
full_assignment_1_MOD,Assignment'!E25,Assignment,
url_client,Sheet26'!G6,Sheet26,
Assignment_P_1,Assignment'!A2,Assignment,
USAR_1,Current Station Apparatus'!W3:W55,Current Station Apparatus,
RunningOrderU,RunningOrder'!B2:B801,RunningOrder,
BoxRunningOrderFull_Headings_Index,ApparatusTypes'!A1:B240,ApparatusTypes,
TONE_LIST_2,Tone List'!C2:C15,Tone List,
Due_11,RunningOrderFull'!L5:L304,RunningOrderFull,
Rescue_1,Current Station Apparatus'!G3:G55,Current Station Apparatus,
LIST_user_pn_1,Sheet46'!F4:F18158,Sheet46,
user_district_1,Matrix 1'!F3,Matrix 1,
COL_RD_cids_bldg_height_stories,raw_data'!Q1,raw_data,
full_assignment_5,Assignment'!I50,Assignment,
FireStation11,Current Station Apparatus'!B13:CL13,Current Station Apparatus,
COL_RD_fid,raw_data'!B1,raw_data,
Assignment_P_3,Assignment'!M2,Assignment,
user_box_5,Matrix 3'!F5,Matrix 3,
COL_RD_cids_minresp,raw_data'!V1,raw_data,
Utility_1,Current Station Apparatus'!L3:L55,Current Station Apparatus,
user_box_3,Matrix 2'!F5,Matrix 2,
COL_BLS,Priority Group'!D1,Priority Group,
Override Other Apparatus'!LIST_station_override_T_OTHER,Override Other Apparatus'!G3:H14,Override Other Apparatus,
A_IncidentType_Table,ProQA'!B3:AC6655,ProQA,
COL_OVR,Override Core Apparatus'!B3:B14,Override Core Apparatus,
T_CUR,Current Station Apparatus'!B3:CL14,Current Station Apparatus,
BE_1,Current Station Apparatus'!AA3:AA55,Current Station Apparatus,
Response_Table,Response'!B3:Z1565,Response,
COL_RD_search_bbox,raw_data'!#REF!,raw_data,
ProQA_List,ProQA'!A3:A6655,ProQA,
COL_running_all,RunningOrderFull'!AQ1,RunningOrderFull,
COL_police_secondary,Postals'!H3,Postals,
init_offset_6,Assignment'!N26,Assignment,
user_excl_D4_1,Matrix 1'!#REF!,Matrix 1,
mod_offset_3,Assignment'!O1,Assignment,
full_assignment_5_MOD,Assignment'!K50,Assignment,
COL_RD_fire_box,raw_data'!G1,raw_data,
CMD_8,Current Station Apparatus'!BH3:BH55,Current Station Apparatus,
COL_fire_due_8,Postals'!#REF!,Postals,
user_response_6,Matrix 3'!E25,Matrix 3,
ProQA Police'!APD_ProQA_Table,ProQA Police'!A3:Z6127,ProQA Police,
COL_running_attack_tankers,RunningOrderFull'!AG1,RunningOrderFull,
COL_RD_cids_fd_designation,raw_data'!O1,raw_data,
current_assignment_5,Assignment'!I28:I49,Assignment,
TONE_STA2,Sheet26'!G20,Sheet26,
user_box_2,Matrix 1'!F26,Matrix 1,
CMD_7,Current Station Apparatus'!BG3:BG55,Current Station Apparatus,
user_verbal_1,Matrix 1'!C14:F14,Matrix 1,
ARFF_4,Current Station Apparatus'!Q3:Q55,Current Station Apparatus,
Truck_A,Current Station Apparatus'!E3:F55,Current Station Apparatus,
LIST_station_current_WL_2,Current Station Apparatus'!AE3:AZ14,Current Station Apparatus,
COL_RD_police_shared,raw_data'!I1,raw_data,
LIST_station_current_DSO_2,Current Station Apparatus'!BS3:BW14,Current Station Apparatus,
Due_4,RunningOrderFull'!E5:E304,RunningOrderFull,
init_offset_9,Assignment'!N51,Assignment,
alert2_short,Sheet26'!G17,Sheet26,
COL_RD_cids_hazards,raw_data'!U1,raw_data,
BoxRunningOrder,Postals'!R5:R17659,Postals,
url_text,Sheet26'!G8,Sheet26,
Squad_A,Current Station Apparatus'!I3:J55,Current Station Apparatus,
COL_fire_due_6,Postals'!#REF!,Postals,
FireStation3,Current Station Apparatus'!B5:CL5,Current Station Apparatus,
COL_RD_police_secondary,raw_data'!H1,raw_data,
user_running_order_7,Matrix 4'!C6,Matrix 4,
LIST_station_current_BLS,Current Station Apparatus'!BM3:BP14,Current Station Apparatus,
FireStation21,Current Station Apparatus'!B16:CL16,Current Station Apparatus,
COL_ALS2,Priority Group'!G1,Priority Group,
user_running_order_mod_2,Matrix 1'!#REF!,Matrix 1,
user_custom_box_2,Matrix 1'!C28,Matrix 1,
COL_street_high,Postals'!P3,Postals,
TABLE_ProQA_Body,ProQA'!A3:C6655,ProQA,
TONE_STA14,Sheet26'!G32,Sheet26,
Due_8,RunningOrderFull'!I5:I304,RunningOrderFull,
Due_3,RunningOrderFull'!D5:D304,RunningOrderFull,
LIST_station_current_WL_1,Current Station Apparatus'!AA3:AB14,Current Station Apparatus,
LIST_user_np_2,Sheet46'!J4:J18158,Sheet46,
BLSTX_4,Current Station Apparatus'!BP3:BP55,Current Station Apparatus,
station_apparatus_array_default,Default Station Apparatus'!B3:CL43,Default Station Apparatus,
current_assignment_6_MOD,Assignment'!Q28:Q49,Assignment,
user_excl_col_2,Matrix 1'!#REF!,Matrix 1,
RunningOrder,Postals'!#REF!,Postals,
