"1,7,10,6,9,8,5,4,2,3,11,12",1-110
"1,8,10,4,6,5,7,3,2,9,11,12",1-50F
"1,8,10,5,4,6,7,2,3,9,11,12",1-47
"1,8,10,5,6,4,7,2,3,9,11,12",1-46
"1,8,10,5,6,7,4,2,3,9,11,12",1-3 1-399E 1-399F 1-4 1-41 1-42 1-44 1-50A
"1,8,10,5,6,7,4,3,2,9,11,12",1-45 1-49
"1,8,10,6,4,5,7,2,3,9,11,12",1-5
"1,8,10,6,5,7,4,2,3,9,11,12",1-2 1-399H 1-40 1-42 1-7
"1,8,10,6,5,7,4,3,2,9,11,12",1-50B
"1,8,10,6,7,5,4,3,2,9,11,12",1-42
"1,8,2,10,6,5,7,4,9,3,11,12",1-105 1-107
"10,1,5,7,8,2,9,4,3,11,12",10-24 10-42
"10,1,5,7,8,9,4,3,2,11,12",10-223
"10,1,6,5,7,8,2,9,4,3,11,12",10-42
"10,1,6,5,7,8,4,2,3,9,11,12",10-399K
"10,1,6,5,7,8,9,4,3,2,11,12",10-223
"10,1,6,5,8,7,2,9,4,3,11,12",10-35 10-37 10-399B 10-42
"10,1,6,7,5,8,2,9,4,3,11,12",10-39 10-42
"10,1,6,7,5,8,9,4,2,3,11,12",10-250
"10,1,6,7,5,8,9,4,3,2,11,12",10-200
"10,1,6,7,8,5,2,9,4,3,11,12",10-399M 10-399N 10-42
"10,1,6,7,8,5,4,2,3,9,11,12",10-399M 10-42
"10,1,6,7,8,5,9,4,2,3,11,12",10-110
"10,1,6,8,5,7,2,9,4,3,11,12",10-29 10-36 10-42
"10,1,6,8,7,5,9,4,3,2,11,12",10-252
"10,1,7,6,5,8,2,9,4,3,11,12",10-399L 10-42
"10,1,7,6,8,5,2,9,4,3,11,12",10-399D
"10,1,7,6,8,5,9,4,2,3,11,12",10-111
"10,1,8,6,5,7,4,9,3,2,11,12",10-109
"10,1,8,6,7,5,4,2,3,9,11,12",10-399A 10-399C
"10,1,8,7,6,5,4,2,3,9,11,12",10-399A
"10,6,1,5,8,7,4,2,3,9,11,12",10-23
"10,6,1,7,5,8,2,9,4,3,11,12",10-20 10-21 10-25 10-399R
"10,6,1,7,8,5,2,9,4,3,11,12",10-26 10-27 10-28 10-29 10-42
"10,6,1,7,8,5,4,9,3,2,11,12",10-106 10-204
"10,6,1,7,8,5,9,4,2,3,11,12",10-106 10-113
"10,6,1,7,8,5,9,4,3,2,11,12",10-206
"10,6,1,8,7,5,4,2,3,9,11,12",10-399S
"10,6,1,8,7,5,4,9,3,2,11,12",10-106
"10,6,5,1,8,7,2,9,4,3,11,12",10-42
"10,6,5,7,1,8,2,9,4,3,11,12",10-399N 10-399Q
"10,6,5,7,1,8,9,4,2,3,11,12",10-201 10-203
"10,6,7,1,2,8,5,9,4,3,11,12",#N/A
"10,6,7,1,5,8,2,9,4,3,11,12",10-21 10-399H 10-399I 10-399L 10-399M 10-399N 10-42 10-881 10-882 10-883
"10,6,7,1,5,8,9,4,2,3,11,12",10-221 10-223 10-226 10-255
"10,6,7,1,5,8,9,4,3,2,11,12",10-255
"10,6,7,1,8,5,2,9,4,3,11,12",10-22
"10,6,7,1,8,5,9,4,2,3,11,12",10-106 10-113
"10,6,7,1,9,8,5,4,2,3,11,12",#N/A
"10,6,7,5,1,8,2,9,4,3,11,12",10-399E 10-399N 10-399Q 10-399R 10-42
"10,6,7,5,1,8,4,9,3,2,11,12",10-106
"10,6,7,5,1,8,9,4,2,3,11,12",10-19A 10-203
"10,7,1,6,8,5,2,9,4,3,11,12",10-399I 10-885
"10,7,2,6,1,8,9,5,4,3,11,12",10-398H
"10,7,6,1,5,8,2,9,4,3,11,12",10-18 10-19 10-20 10-399B 10-884
"10,7,6,1,5,8,9,4,2,3,11,12",10-224 10-254
"10,7,6,1,8,5,2,9,4,3,11,12",10-399J 10-399Z 10-42
"10,7,6,1,8,5,9,4,2,3,11,12",10-111 10-113
"10,7,6,1,9,8,5,4,2,3,11,12",10-107 10-109
"10,7,9,6,1,4,2,8,5,3,11,12",10-111
"10,7,9,6,1,8,4,5,2,3,11,12",10-217
"10,9,6,1,4,2,8,3,5,11,12",10-107
"11,12,3,4,9,2,7,10,1,6,5",11-230 11-231 11-232 11-233 11-234 11-380 11-381 11-381A 11-381B 11-397A 11-397B 11-397C 11-397D 11-397E 11-397F 11-4 11-40 11-41 11-501A 11-501B 11-77
"11,12,3,4,9,2,8,1,7,10,6,5",11-641
"11,12,3,9,2,4,7,10,1,6,5",11-1 11-380 11-8 11-9 11-973 11-974
"11,3,12,9,2,4,7,10,1,6,5",11-380 11-380A 11-380B 11-380C 11-640 11-971 11-972 11-980 11-981 11-982 11-983 11-984
"12,11,3,4,2,9,8,1,5,7,10,6",12-10 12-32 12-644 12-645
"12,11,3,4,9,2,8,1,7,10,6,5",12-1 12-233 12-234 12-235 12-236 12-237 12-3 12-30 12-31 12-381B 12-400 12-501B 12-641 12-642 12-643 12-8
"2,1,10,6,7,4,8,5,3,9,11,12",2-52J
"2,1,10,6,8,5,7,4,3,9,11,12",2-52K
"2,1,10,7,6,4,8,5,3,9,11,12",2-52G
"2,1,4,10,6,3,8,5,7,9,11,12",2-566
"2,1,4,10,6,8,7,5,3,9,11,12",2-52L
"2,1,4,10,7,6,3,8,11,9,5,12",2-57K
"2,1,4,10,7,6,8,5,9,3,11,12",2-15 2-51D 2-52F 2-52I 2-57P
"2,3,11,12,4,9,1,10,6,7,8,5",2-50I
"2,4,1,10,7,6,9,3,11,8,5,12",2-511 2-51F 2-57Q 2-57U
"2,4,1,10,7,6,9,3,8,11,5,12",2-57L
"2,4,1,9,10,7,6,3,11,8,5,12",2-57R
"2,4,1,9,3,11,10,8,6,7,5,12",2-57J
"2,4,3,11,1,9,8,10,7,6,5,12",2-58Q
"2,4,3,11,12,9,1,8,10,7,6,5",2-58M
"2,4,3,9,11,1,8,10,7,6,5,12",2-57Y
"2,4,7,10,6,1,8,5,9,3,11,12",2-51G
"2,4,7,10,6,1,9,8,5,3,11,12",2-51I
"2,4,9,1,3,10,11,8,7,6,5,12",2-57D
"2,4,9,1,3,11,10,7,6,8,5,12",2-57N
"2,4,9,3,11,1,10,7,6,8,5,12",2-2 2-5 2-512B 2-512C 2-512D 2-57X 2-58N 2-58O 2-58P 2-58R 2-74 2-87 2-88
"2,4,9,3,11,1,8,10,7,6,5,12",2-57T
"2,9,4,3,11,1,10,7,6,8,5,12",2-4 2-58Q 2-59F 2-7 2-80 2-81 2-9 2-91
"2,9,4,3,11,10,7,1,6,8,5,12",2-59D
"2,9,4,3,11,10,7,6,1,8,5,12",2-2 2-59A
"2,9,4,3,11,7,10,6,1,8,5,12",2-16 2-17 2-3 2-400 2-401 2-500A 2-500B 2-59B 2-59C 2-59E 2-59G 2-59H 2-8
"2,9,4,7,10,1,6,3,11,8,5,12",2-13
"2,9,7,10,6,1,4,3,11,8,5,12",2-14
"2,9,7,10,6,1,4,8,5,3,11,12",2-500C
"3,11,12,4,1,8,2,9,10,6,7,5",3-60 3-83
"3,11,12,4,1,8,9,2,10,6,7,5",3-122
"3,11,12,4,2,9,1,8,10,6,7,5",3-50D
"3,11,12,4,9,1,2,8,10,6,7,5",3-11 3-13 3-50A 3-50B 3-9
"3,11,12,4,9,1,8,2,10,6,7,5",3-123 3-124
"3,11,12,4,9,2,1,8,10,6,7,5",3-1 3-127 3-128 3-129 3-130 3-3 3-5 3-50C 3-50E 3-7
"3,11,12,4,9,2,1,8,10,7,6,5",3-2 3-8
"3,11,12,9,2,4,1,10,7,6,8,5",3-50G
"3,11,12,9,2,4,1,10,7,8,6,5",3-18 3-71
"3,11,12,9,4,2,1,10,8,7,6,5",3-10 3-4 3-50F
"3,11,2,9,4,1,10,7,6,8,5,12",3-81 3-82
"3,11,9,12,2,4,1,10,7,6,8,5",3-20 3-22
"3,11,9,12,2,4,1,10,7,8,6,5",3-14 3-16
"3,11,9,12,2,4,1,8,10,7,6,5",3-12 3-133 3-134 3-6
"3,11,9,12,2,4,10,7,6,1,8,5",3-135 3-136 3-137 3-138 3-140 3-142 3-144 3-200 3-24 3-50M
"3,11,9,12,2,4,7,10,1,6,5",3-640
"3,11,9,12,4,2,1,10,8,7,6,5",3-131 3-132
"3,12,11,4,1,8,2,9,10,6,7,5",#N/A
"4,1,2,3,11,8,10,5,6,7,9,12",4-83
"4,1,2,9,10,3,6,7,8,11,5,12",4-57G
"4,1,2,9,10,6,8,5,7,3,11,12",4-53D
"4,1,3,11,8,10,6,7,2,5,9,12",4-55E
"4,1,3,11,8,10,6,7,5,2,9,12",4-61
"4,1,3,11,8,10,6,9,7,5,2,12",4-109 4-110
"4,1,8,2,10,5,6,3,7,11,9,12",4-54A
"4,1,8,2,10,5,6,7,3,11,9,12",4-54B
"4,1,8,2,10,6,3,7,5,11,9,12",4-18 4-50P 4-60
"4,1,8,3,11,10,2,5,6,7,9,12",4-54C
"4,1,8,3,11,10,6,7,5,2,9,12",4-20 4-54H 4-55A
"4,1,8,3,11,10,6,7,5,9,2,12",4-105 4-106 4-108
"4,2,1,3,11,8,10,5,6,7,9,12",4-57E
"4,2,1,3,11,8,10,6,9,5,7,12",4-57F
"4,2,1,8,10,5,6,7,11,3,9,12",4-53A 4-53B
"4,2,1,8,10,6,5,11,7,3,9,12",4-53E
"4,2,1,8,11,3,10,5,6,7,9,12",4-54E
"4,2,1,8,11,5,10,3,6,7,9,12",4-54D
"4,2,1,9,3,11,10,8,6,5,7,12",4-57H
"4,2,1,9,3,11,10,8,6,7,5,12",4-57I
"4,2,3,11,1,8,10,6,9,7,5,12",4-81 4-82
"4,2,3,11,1,8,9,10,6,7,5,12",4-461 4-56C 4-56E 4-57B 4-58J 4-80
"4,2,3,11,1,9,8,10,6,7,5,12",4-84 4-85
"4,2,3,11,1,9,8,10,7,6,5,12",4-57A 4-58L 4-58P 4-86 4-92
"4,2,3,11,12,9,1,8,10,6,7,5",4-58K
"4,3,11,1,2,8,10,6,5,7,9,12",4-54G
"4,3,11,1,2,8,10,6,7,5,9,12",4-56A
"4,3,11,1,2,8,9,10,6,7,5,12",4-58D
"4,3,11,1,8,2,10,6,7,5,9,12",4-13 4-14 4-470 4-471 4-472 4-480 4-482 4-55C 4-55F 4-56D 4-62 4-91
"4,3,11,1,8,2,9,10,6,7,5,12",4-19 4-21 4-30 4-58A
"4,3,11,1,8,9,10,6,2,7,5,12",4-119
"4,3,11,1,8,9,10,6,7,2,5,12",4-118
"4,3,11,1,8,9,10,6,7,5,2,12",4-111 4-112 4-113 4-114 4-115 4-116 4-117
"4,3,11,1,8,9,2,10,6,7,5,12",4-120 4-121
"4,3,2,11,1,8,10,6,7,5,9,12",4-10 4-481 4-56B
"4,3,2,11,1,8,10,6,7,9,5,12",4-483
"4,3,2,11,1,8,9,10,6,7,5,12",4-400 4-460 4-490 4-491
"5,6,10,1,8,7,2,9,4,3,11,12",5-399A 5-399F 5-399H
"5,6,10,1,8,7,4,2,3,9,11,12",5-24 5-399B 5-399E 5-399F 5-399H 5-400 5-403 5-404 5-42 5-42A 5-42B
"5,6,10,1,8,7,4,9,3,2,11,12",5-205
"5,6,10,7,1,8,2,9,4,3,11,12",5-25
"5,6,10,7,1,8,9,4,3,2,11,12",5-104
"5,6,10,7,8,1,2,9,4,3,11,12",#N/A
"5,6,7,8,10,1,2,9,4,3,11,12",5-399C
"5,6,8,10,1,7,2,9,4,3,11,12",5-10 5-14 5-26 5-399D
"5,6,8,10,1,7,4,2,3,9,11,12",5-11 5-399C 5-399D 5-402 5-42 5-499
"5,6,8,10,1,7,4,9,3,2,11,12",5-100 5-102
"5,7,6,10,1,8,2,9,4,3,11,12",5-399C
"5,8,6,10,1,7,4,2,3,9,11,12",5-1 5-401
"6,1,10,7,5,8,2,9,4,3,11,12",6-399E
"6,10,1,5,7,8,4,2,3,9,11,12",6-42
"6,10,1,5,7,8,4,9,3,2,11,12",6-208
"6,10,1,5,8,7,2,9,4,3,11,12",6-17 6-42
"6,10,7,1,5,8,2,9,4,3,11,12",6-2 6-4 6-6 6-86 6-87 6-880
"6,10,7,1,5,8,9,4,2,3,11,12",6-151
"6,10,7,5,1,8,2,9,4,3,11,12",6-1 6-12 6-14 6-19 6-42 6-60 6-63 6-64 6-65 6-68 6-690 6-691 6-692 6-693 6-694 6-85 6-900 6-901 6-902 6-903 6-904 6-905
"6,5,1,8,2,10,7,11,9,3,4,12",6-83
"6,5,10,1,7,8,2,9,4,3,11,12",6-399P
"6,5,10,1,7,8,4,2,3,9,11,12",6-399C 6-399D
"6,5,10,1,7,8,9,4,3,2,11,12",6-208
"6,5,10,1,8,7,4,2,3,9,11,12",6-15 6-399C 6-399D 6-399F 6-42
"6,5,10,1,8,7,4,9,3,2,11,12",6-107 6-203 6-208
"6,5,10,7,1,8,2,9,4,3,11,12",6-3 6-32 6-5 6-9
"6,5,10,7,1,8,4,9,3,2,11,12",6-202
"6,5,10,7,1,8,9,4,3,2,11,12",6-109 6-111 6-200 6-210
"6,5,10,7,8,1,2,9,4,3,11,12",6-11 6-30 6-31 6-399A 6-399B 6-399D 6-399E 6-399G 6-399J 6-42 6-7 6-8 6-81 6-82
"6,5,10,7,8,1,9,4,3,2,11,12",6-106 6-109 6-202
"6,5,8,10,1,7,2,9,4,3,11,12",6-42 6-84
"6,5,8,10,1,7,4,2,3,9,11,12",6-399G
"6,5,8,10,7,1,2,9,4,3,11,12",6-13 6-399D
"6,7,5,10,1,8,2,9,4,3,11,12",6-10 6-80
"7,1,10,6,2,8,5,9,4,3,11,12",7-50H 7-7 7-8
"7,1,10,6,8,5,2,9,4,3,11,12",7-399L 7-4 7-42 7-5 7-6 7-886 7-887 7-888
"7,1,10,6,8,5,9,4,2,3,11,12",7-108 7-300
"7,1,10,6,9,8,5,4,2,3,11,12",7-111
"7,10,6,1,2,5,8,9,4,3,11,12",7-12 7-30 7-398D 7-50C 7-51C
"7,10,6,1,2,8,5,9,4,3,11,12",7-398A 7-42 7-50A 7-50E 7-50G 7-50I 7-9
"7,10,6,1,5,2,8,9,4,3,11,12",7-398F 7-399P 7-42 7-50B
"7,10,6,1,5,8,2,9,4,3,11,12",7-399Q 7-399T 7-42
"7,10,6,1,5,8,9,4,3,2,11,12",7-209
"7,10,6,1,5,9,8,4,2,3,11,12",7-127 7-205 7-208 7-210
"7,10,6,1,8,2,5,9,4,3,11,12",7-42
"7,10,6,1,8,5,2,9,4,3,11,12",7-2 7-3 7-399L 7-399U 7-42 7-51A 7-90
"7,10,6,1,8,5,9,4,2,3,11,12",7-108 7-222 7-250 7-252
"7,10,6,1,9,5,8,4,2,3,11,12",7-210
"7,10,6,1,9,8,5,4,2,3,11,12",#N/A
"7,10,6,2,1,5,8,9,4,3,11,12",7-398C 7-398G 7-399R 7-399S 7-502 7-51F 7-73
"7,10,6,9,1,5,8,4,2,3,11,12",7-205 7-208 7-210 7-220
"7,2,10,6,1,9,4,5,8,3,11,12",7-50F
"7,5,6,10,1,8,2,9,4,3,11,12",7-10 7-399H
"7,5,6,10,1,8,9,4,2,3,11,12",7-207 7-212
"7,5,6,10,1,8,9,4,3,2,11,12",#N/A
"7,6,10,1,5,8,2,9,4,3,11,12",7-1 7-11 7-13 7-15 7-16 7-17 7-398E 7-399F 7-399J 7-399K 7-399N 7-399P 7-399Q 7-399T 7-399V 7-399W 7-399X 7-399Y 7-42 7-51B 7-870 7-871 7-872
"7,6,10,1,5,8,9,4,2,3,11,12",7-110 7-123 7-125 7-127 7-207 7-209 7-210 7-213 7-214 7-215 7-217 7-222 7-251 7-253
"7,6,10,2,1,5,8,9,4,3,11,12",7-61
"7,6,10,2,1,5,9,8,4,3,11,12",7-60
"7,6,10,5,1,2,8,9,4,3,11,12",7-51D 7-65
"7,6,10,5,1,8,2,9,4,3,11,12",7-14 7-51E 7-62 7-63 7-64
"7,6,10,5,1,8,9,4,2,3,11,12",7-207 7-209
"7,9,10,6,1,4,2,5,8,3,11,12",7-205
"7,9,10,6,1,4,5,2,8,3,11,12",7-205
"8,1,10,4,6,7,5,3,2,9,11,12",8-23 8-24 8-26
"8,1,10,4,6,7,5,3,9,2,11,12",8-101
"8,1,10,5,6,7,4,2,3,9,11,12",8-31 8-32 8-60
"8,1,10,5,6,7,4,3,2,9,11,12",8-30
"8,1,10,6,4,5,7,3,2,9,11,12",8-62
"8,1,10,6,4,7,5,3,11,9,12,2",8-102
"8,1,10,6,4,7,5,3,2,9,11,12",8-22
"8,1,10,6,5,7,4,2,3,9,11,12",8-399D
"8,1,10,6,5,7,4,3,2,9,11,12",8-11 8-29 8-399C 8-42
"8,1,10,6,5,7,4,3,9,2,11,12",8-198
"8,1,10,6,7,4,5,3,9,2,11,12",8-100 8-104
"8,1,10,6,7,5,4,2,3,9,11,12",8-21
"8,1,10,6,7,5,4,3,2,9,11,12",8-10 8-12 8-13 8-27 8-399C 8-42 8-50K
"8,1,10,6,7,5,4,3,9,2,11,12",8-100 8-102 8-197 8-198
"8,1,10,6,7,5,4,9,3,2,11,12",8-101
"8,1,4,10,6,3,7,5,2,9,11,12",8-63
"8,10,1,5,6,7,4,2,3,9,11,12",8-15 8-18 8-19 8-20 8-399A 8-399B 8-399D 8-399E 8-3B 8-4 8-5 8-6 8-81A 8-81B 8-81C 8-81D 8-82A 8-82B 8-82C 8-82D 8-83A
"8,10,1,5,6,7,4,3,2,9,11,12",8-399D 8-61 8-8 8-9
"8,10,1,5,6,7,4,9,3,2,11,12",8-104
"8,4,1,10,3,6,7,5,9,2,11,12",#N/A
"8,4,1,10,6,3,7,5,2,9,11,12",8-25 8-28
"8,4,1,10,6,3,7,5,9,2,11,12",8-103
"8,5,1,6,10,7,4,3,2,9,11,12",8-7
"8,5,10,1,6,7,4,2,3,9,11,12",8-1 8-16 8-2 8-3A 8-80A 8-80B 8-80C 8-80D 8-84
"8,5,10,1,6,7,4,9,3,2,11,12",8-15A
"8,5,6,10,1,7,4,2,3,9,11,12",8-17
"8,5,6,10,1,7,4,9,3,2,11,12",8-15B
"9,10,2,3,11,12,4,7,6,1,8,5",9-211 9-213
"9,10,7,6,1,4,2,8,5,3,11,12",9-215 9-42
"9,2,3,11,12,4,10,7,6,1,8,5",9-10 9-14 9-204 9-206 9-208 9-210 9-212 9-214 9-3 9-30 9-35 9-399C 9-4 9-400 9-50J 9-538E 9-538F 9-6 9-60 9-93 9-94 9-95 9-96
"9,2,3,11,12,4,7,10,6,1,8,5",9-10 9-12 9-20 9-201 9-203 9-205 9-52G 9-61 9-62 9-64 9-71 9-72
"9,2,3,4,10,11,7,6,1,8,5,12",9-52D
"9,2,3,7,10,6,4,1,5,8,11,12",9-70
"9,2,4,10,7,1,6,8,3,11,5,12",9-108 9-399H
"9,2,4,3,11,1,10,7,6,8,5,12",2-50H 2-92
"9,2,4,3,11,10,7,6,1,8,5,12",9-1 9-11 9-12 9-200 9-202 9-204 9-216 9-218 9-220 9-399D 9-399E 9-399G 9-538A 9-538C 9-538D
"9,2,4,3,11,7,10,6,1,8,5,12",9-207 9-209 9-42 9-5 9-52C 9-52E
"9,2,4,3,7,10,6,1,11,8,5,12",9-399B
"9,2,7,10,6,3,11,1,4,5,8,12",9-61
"9,3,11,2,4,10,7,6,1,8,5,12",9-1 9-139 9-141 9-2 9-202 9-50N 9-9
"9,3,11,2,4,7,10,6,1,8,5,12",9-51B 9-60 9-91B
"9,4,2,3,10,7,6,1,5,8,11,12",9-33
"9,4,2,3,7,10,11,6,1,8,5,12",9-18 9-20 9-538B
"9,4,2,7,10,6,1,3,11,8,5,12",9-399A
"9,7,10,4,6,2,1,3,5,8,11,12",9-31
"9,7,10,6,1,4,2,5,3,8,11,12",
"9,7,10,6,1,4,5,2,8,3,11,12",
"9,7,10,6,1,5,4,2,8,3,11,12",
"9,7,10,6,4,1,2,5,3,8,11,12",
"9,7,10,6,4,1,2,5,8,3,11,12",
"9,7,10,6,4,2,1,3,5,8,11,12",
"9,7,10,6,4,2,1,5,3,8,11,12",
"9,7,2,10,6,1,3,4,5,8,11,12",
"9,7,2,10,6,1,4,8,3,11,5,12",
"9,7,4,10,6,2,3,11,1,5,8,12",
