1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
02E01,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, INEFFECTIVE BREATHING","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02E01I,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, INEFFECTIVE BREATHING, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02E01M,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, INEFFECTIVE BREATHING, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
03A01,ANIMALBITE|BLS,BLSU9,1A,"ANIMAL BITE/ATTACK, NOT DANGEROUS BODY AREA","ANIMAL BITE, BLS",,8,,,,,1,,,,,,,,,,,,,,,,
03A02,ANIMALBITE|ROUTINE,BLSR,1A,"ANIMAL BITE/ATTACK, NON-RECENT (>=6HRS) INJS (W/O PRIORITY SYMPTOMS)","ANIMAL BITE, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
03A03,ANIMALBITE|ROUTINE,BLSR,1A,"ANIMAL BITE/ATTACK, SUPERFICIAL INJS","ANIMAL BITE, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
03A04,ANIMALBITE|ROUTINE,BLSR,1A,"ANIMAL BITE/ATTACK, SUPERFICIAL INJS","ANIMAL BITE, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
03B00,ANIMALBITE|BLS,BLSU9,1A,"ANIMAL BITE/ATTACK, BLS OVERRIDE (BRAVO)","ANIMAL BITE, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
03B01,ANIMALBITE|BLS,BLSU9,1A,"ANIMAL BITE/ATTACK, POSSIBLY DANGEROUS BODY AREA","ANIMAL BITE, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
03B02,ANIMALBITE|BLS,BLSU9,1A,"ANIMAL BITE/ATTACK, SERIOUS HEMORRHAGE","ANIMAL BITE, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
03B03,ANIMALBITE|BLS,BLSU9,1A,"ANIMAL BITE/ATTACK, UNKN CODE/OTHER CODES NOT APPLICABLE","ANIMAL BITE, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
03D00,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, ALS OVERRIDE (DELTA)","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D01,ANIMALBITE|CPR,AL2D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, ARREST","ANIMAL BITE W/ CPR, ALS2",[ACC],2,1,,,1,,1,,,,,,,,,,,,,,,
03D02,ANIMALBITE|ALS2,AL2D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, UNCONSCIOUS","ANIMAL BITE, ALS2",[ACC],2,1,,,1,,1,,,,,,,,,,,,,,,
03D03,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, NOT ALERT","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D04,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, CHEST/NECK/HEAD INJ (W/ DIFF BREATHING)","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D05,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, DANGEROUS BODY AREA","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D06,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, LARGE ANIMAL","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D07,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, EXOTIC ANIMAL","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D08,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, MAULING OR MULT ANIMALS","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
03D09,ANIMALBITE|ALS1,AL1D,1E+1M+1EMSO,"ANIMAL BITE/ATTACK, ATTACK IN PROGRESS","ANIMAL BITE, ALS1",[ACC],5,1,,,1,,1,,,,,,,,,,,,,,,
04A01,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA W/ DEFORMITY","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A01A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA W/ DEFORMITY, ASSAULT","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A01S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA W/ DEFORMITY, SEXUAL ASSAULT","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A01T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA W/ DEFORMITY, STUN GUN","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A02,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A02A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA, ASSAULT","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A02S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA, SEXUAL ASSAULT","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A02T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, NOT DANGEROUS BODY AREA, STUN GUN","ASLT, BLS",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A03,ASSAULT|ROUTINE,BLSR,1A,"ASSAULT, NON-RECENT (>=6HRS) INJS (W/O PRIORITY SYMPTOMS)","ASLT, ROUTINE",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A03A,ASSAULT|ROUTINE,BLSR,1A,"ASSAULT, NON-RECENT (>=6HRS) INJS (W/O PRIORITY SYMPTOMS), ASSAULT","ASLT, ROUTINE",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A03S,ASSAULT|ROUTINE,BLSR,1A,"ASSAULT, NON-RECENT (>=6HRS) INJS (W/O PRIORITY SYMPTOMS), SEXUAL ASSAULT","ASLT, ROUTINE",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04A03T,ASSAULT|ROUTINE,BLSR,1A,"ASSAULT, NON-RECENT (>=6HRS) INJS (W/O PRIORITY SYMPTOMS), STUN GUN","ASLT, ROUTINE",[PD],8,,,,,1,,,,,,,,,,,,,,,,
04B00,ASSAULT|BLS,BLSU9,1A,"ASSAULT, BLS OVERRIDE (BRAVO)","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B00A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, BLS OVERRIDE (BRAVO), ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B00S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, BLS OVERRIDE (BRAVO), SEXUAL ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B00T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, BLS OVERRIDE (BRAVO), STUN GUN","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B01,ASSAULT|BLS,BLSU9,1A,"ASSAULT, POSSIBLY DANGEROUS BODY AREA","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B01A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, POSSIBLY DANGEROUS BODY AREA, ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B01S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, POSSIBLY DANGEROUS BODY AREA, SEXUAL ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B01T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, POSSIBLY DANGEROUS BODY AREA, STUN GUN","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B02,ASSAULT|BLS,BLSU9,1A,"ASSAULT, SERIOUS HEMORRHAGE","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B02A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, SERIOUS HEMORRHAGE, ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B02S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, SERIOUS HEMORRHAGE, SEXUAL ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B02T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, SERIOUS HEMORRHAGE, STUN GUN","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B03,ASSAULT|BLS,BLSU9,1A,"ASSAULT, UNKN STATUS/OTHER CODES NOT APPLICABLE","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B03A,ASSAULT|BLS,BLSU9,1A,"ASSAULT, UNKN STATUS/OTHER CODES NOT APPLICABLE, ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B03S,ASSAULT|BLS,BLSU9,1A,"ASSAULT, UNKN STATUS/OTHER CODES NOT APPLICABLE, SEXUAL ASSAULT","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04B03T,ASSAULT|BLS,BLSU9,1A,"ASSAULT, UNKN STATUS/OTHER CODES NOT APPLICABLE, STUN GUN","ASLT, BLS",[PD],7,,,,,1,,,,,,,,,,,,,,,,
04D00,ASSAULT|ALS1,AL1D,1E+1M+1EMSO,"ASSAULT, ALS OVERRIDE (DELTA)","ASLT, ALS1",[PD],5,1,,,1,,1,,,,,,,,,,,,,,,
04D00A,ASSAULT|ALS1,AL1D,1E+1M+1EMSO,"ASSAULT, ALS OVERRIDE (DELTA), ASSAULT","ASLT, ALS1",[PD],5,1,,,1,,1,,,,,,,,,,,,,,,
04D00S,ASSAULT|ALS1,AL1D,1E+1M+1EMSO,"ASSAULT, ALS OVERRIDE (DELTA), SEXUAL ASSAULT","ASLT, ALS1",[PD],5,1,,,1,,1,,,,,,,,,,,,,,,
04D00T,ASSAULT|ALS1,AL1D,1E+1M+1EMSO,"ASSAULT, ALS OVERRIDE (DELTA), STUN GUN","ASLT, ALS1",[PD],5,1,,,1,,1,,,,,,,,,,,,,,,
04D01,ASSAULT|CPR,AL2D,1E+1M+1EMSO,"ASSAULT, ARREST","ASLT W/ CPR, ALS2",[PD],2,1,,,1,,1,,,,,,,,,,,,,,,
04D01A,ASSAULT|CPR,AL2D,1E+1M+1EMSO,"ASSAULT, ARREST, ASSAULT","ASLT W/ CPR, ALS2",[PD],2,1,,,1,,1,,,,,,,,,,,,,,,
04D01S,ASSAULT|CPR,AL2D,1E+1M+1EMSO,"ASSAULT, ARREST, SEXUAL ASSAULT","ASLT W/ CPR, ALS2",[PD],2,1,,,1,,1,,,,,,,,,,,,,,,
