1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
101D04R,ABDUCTAR,REF,,"ATTEMPTED ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101C01,HOSTO,1P,,"HOSTAGE SITUATION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C01W,HOSTO,1P,,"HOSTAGE SITUATION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C01E,HOSTO,1P,,"HOSTAGE SITUATION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C01X,HOSTO,1P,,"HOSTAGE SITUATION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C01O,HOSTN,REF,,"HOSTAGE SITUATION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C01T,HOSTT,REF,,"HOSTAGE SITUATION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C01R,HOSTR,REF,,"HOSTAGE SITUATION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101C02,ABDUCTO,1P,,"ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C02W,ABDUCTO,1P,,"ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C02E,ABDUCTO,1P,,"ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C02X,ABDUCTO,1P,,"ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C02O,ABDUCTN,REF,,"ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C02T,ABDUCTT,REF,,"ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C02R,ABDUCTR,REF,,"ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101C03,PABDUCTO,1P,,"PARENTAL/CUSTODIAL ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C03W,PABDUCTO,1P,,"PARENTAL/CUSTODIAL ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C03E,PABDUCTO,1P,,"PARENTAL/CUSTODIAL ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C03X,PABDUCTO,1P,,"PARENTAL/CUSTODIAL ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C03O,PABDUCTN,REF,,"PARENTAL/CUSTODIAL ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C03T,PABDUCTT,REF,,"PARENTAL/CUSTODIAL ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C03R,PABDUCTR,REF,,"PARENTAL/CUSTODIAL ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101C04,ABDUCTAO,1P,,"ATTEMPTED ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C04W,ABDUCTAO,1P,,"ATTEMPTED ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C04E,ABDUCTAO,1P,,"ATTEMPTED ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C04X,ABDUCTAO,1P,,"ATTEMPTED ABDUCTION, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
101C04O,ABDUCTAN,REF,,"ATTEMPTED ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C04T,ABDUCTAT,REF,,"ATTEMPTED ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C04R,ABDUCTAR,REF,,"ATTEMPTED ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101C05,CUSTJ,2P,,"CUSTODY ISSUE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
101C05W,CUSTJ,2P,,"CUSTODY ISSUE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
101C05E,CUSTJ,2P,,"CUSTODY ISSUE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
101C05X,CUSTJ,2P,,"CUSTODY ISSUE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
101C05O,CUSTN,REF,,"CUSTODY ISSUE, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C05T,CUSTT,REF,,"CUSTODY ISSUE, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101C05R,CUSTR,REF,,"CUSTODY ISSUE, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102D01,ABUSEI,2P,,"ABUSE, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D01W,ABUSEI,2P,,"ABUSE, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D01E,ABUSEI,2P,,"ABUSE, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D01X,ABUSEI,2P,,"ABUSE, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D01O,ABUSEN,REF,,"ABUSE, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D01T,ABUSET,REF,,"ABUSE, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D01R,ABUSER,REF,,"ABUSE, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102D02,ABANDI,2P,,"ABANDONMENT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D02W,ABANDI,2P,,"ABANDONMENT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D02E,ABANDI,2P,,"ABANDONMENT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D02X,ABANDI,2P,,"ABANDONMENT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D02O,ABANDN,REF,,"ABANDONMENT, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D02T,ABANDT,REF,,"ABANDONMENT, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D02R,ABANDR,REF,,"ABANDONMENT, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102D03,NEGLECTI,2P,,"NEGLECT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D03W,NEGLECTI,2P,,"NEGLECT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D03E,NEGLECTI,2P,,"NEGLECT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D03X,NEGLECTI,2P,,"NEGLECT, IN PROGRESS",,2,,,,,,,,,,,,,,,,,,,
102D03O,NEGLECTN,REF,,"NEGLECT, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D03T,NEGLECTT,REF,,"NEGLECT, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102D03R,NEGLECTR,REF,,"NEGLECT, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102C01,ABUSEJ,2P,,"ABUSE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C01W,ABUSEJ,2P,,"ABUSE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C01E,ABUSEJ,2P,,"ABUSE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C01X,ABUSEJ,2P,,"ABUSE, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C01O,ABUSEN,REF,,"ABUSE, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102C01T,ABUSET,REF,,"ABUSE, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102C01R,ABUSER,REF,,"ABUSE, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102C02,NEGLECTJ,2P,,"NEGLECT, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C02W,NEGLECTJ,2P,,"NEGLECT, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C02E,NEGLECTJ,2P,,"NEGLECT, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C02X,NEGLECTJ,2P,,"NEGLECT, JUST OCCURRED",,2,,,,,,,,,,,,,,,,,,,
102C02O,NEGLECTN,REF,,"NEGLECT, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102C02T,NEGLECTT,REF,,"NEGLECT, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102C02R,NEGLECTR,REF,,"NEGLECT, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102B01,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B01W,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B01E,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B01X,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B01O,ABUSEN,REF,,"ABUSE, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B01T,ABUSET,REF,,"ABUSE, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B01R,ABUSER,REF,,"ABUSE, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102B02,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B02W,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B02E,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B02X,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B02O,NEGLECTN,REF,,"NEGLECT, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B02T,NEGLECTT,REF,,"NEGLECT, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B02R,NEGLECTR,REF,,"NEGLECT, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102B03,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B03W,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B03E,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B03X,ABUSEO,1P,,"ABUSE, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B03O,ABUSEN,REF,,"ABUSE, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B03T,ABUSET,REF,,"ABUSE, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B03R,ABUSER,REF,,"ABUSE, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
102B04,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B04W,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B04E,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B04X,NEGLECTO,1P,,"NEGLECT, OCCURRED EARLIER",,1,,,,,,,,,,,,,,,,,,,
102B04O,NEGLECTN,REF,,"NEGLECT, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B04T,NEGLECTT,REF,,"NEGLECT, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
102B04R,NEGLECTR,REF,,"NEGLECT, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
103D01,TXPT|MED,1P,,BLOOD/ORGAN TRANSPORT,,1,,,,,,,,,,,,,,,,,,,
103C01,TXPT|PRISONER,1SH,,PRISONER TRANSPORT,,,1,,,,,,,,,,,,,,,,,,
103B01,TXPT|PERSON,1P,,PERSON TRANSPORT,,1,,,,,,,,,,,,,,,,,,,
103B02,MSG|URGENT,1P,,URGENT MESSAGE DELIVERY,,1,,,,,,,,,,,,,,,,,,,
103B03,ESCORT|MED,1P,,MEDICAL ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B04,ESCORT|SEC,1P,,SECURITY ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B05,ESCORT|PERSON,1P,,PERSON/ORGANIZATION ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B06,FOUND|ORDNANCE,1P1EOD1S,,FOUND UNEXPLODED ORDNANCE,,1,,,,,1,1,,,,,,,,,,,,,
103A01,MSG|NONURGENT,1P,,NON-URGENT MESSAGE DELIVERY,,1,,,,,,,,,,,,,,,,,,,
103A02,FOUND|PROPERTY,1P,,FOUND PROPERTY,,1,,,,,,,,,,,,,,,,,,,
103A03,LOST|PROPERTY,1P,,LOST PROPERTY,,1,,,,,,,,,,,,,,,,,,,
103A04,CHECK|PROPERTY,1P,,PROPERTY CHECK,,1,,,,,,,,,,,,,,,,,,,
103A05,ADMIN|OTHER,1P,,OTHER,,1,,,,,,,,,,,,,,,,,,,
103D01W,TXPT|MED,1P,,BLOOD/ORGAN TRANSPORT,,1,,,,,,,,,,,,,,,,,,,
103C01W,TXPT|PRISONER,1SH,,PRISONER TRANSPORT,,,1,,,,,,,,,,,,,,,,,,
103B01W,TXPT|PERSON,1P,,PERSON TRANSPORT,,1,,,,,,,,,,,,,,,,,,,
103B02W,MSG|URGENT,1P,,URGENT MESSAGE DELIVERY,,1,,,,,,,,,,,,,,,,,,,
103B03W,ESCORT|MED,1P,,MEDICAL ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B04W,ESCORT|SEC,1P,,SECURITY ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B05W,ESCORT|PERSON,1P,,PERSON/ORGANIZATION ESCORT,,1,,,,,,,,,,,,,,,,,,,
103B06W,FOUND|ORDNANCE,1P1EOD1S,,FOUND UNEXPLODED ORDNANCE,,1,,,,,1,1,,,,,,,,,,,,,
103A01W,MSG|NONURGENT,1P,,NON-URGENT MESSAGE DELIVERY,,1,,,,,,,,,,,,,,,,,,,
103A02W,FOUND|PROPERTY,1P,,FOUND PROPERTY,,1,,,,,,,,,,,,,,,,,,,
103A03W,LOST|PROPERTY,1P,,LOST PROPERTY,,1,,,,,,,,,,,,,,,,,,,
103A04W,CHECK|PROPERTY,1P,,PROPERTY CHECK,,1,,,,,,,,,,,,,,,,,,,
103A05W,ADMIN|OTHER,1P,,OTHER,,1,,,,,,,,,,,,,,,,,,,
103D01O,TXPT|MED|OMEGA,REF,,BLOOD/ORGAN TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103C01O,TXPT|PRISONER|OMEGA,REF,,PRISONER TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B01O,TXPT|PERSON|OMEGA,REF,,PERSON TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B02O,MSG|URGENT|OMEGA,REF,,URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103B03O,ESCORT|MED|OMEGA,REF,,MEDICAL ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B04O,ESCORT|SEC|OMEGA,REF,,SECURITY ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B05O,ESCORT|PERSON|OMEGA,REF,,PERSON/ORGANIZATION ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B06O,FOUND|ORDNANCE|OMEGA,REF,,FOUND UNEXPLODED ORDNANCE,,0,,,,,,,,,,,,,,,,,,,
103A01O,MSG|NONURGENT|OMEGA,REF,,NON-URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103A02O,FOUND|PROPERTY|OMEGA,REF,,FOUND PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A03O,LOST|PROPERTY|OMEGA,REF,,LOST PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A04O,CHECK|PROPERTY|OMEGA,REF,,PROPERTY CHECK,,0,,,,,,,,,,,,,,,,,,,
103A05O,ADMIN|OTHER|OMEGA,REF,,OTHER,,0,,,,,,,,,,,,,,,,,,,
103D01T,TXPT|MED|OMEGA,REF,,BLOOD/ORGAN TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103C01T,TXPT|PRISONER|OMEGA,REF,,PRISONER TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B01T,TXPT|PERSON|OMEGA,REF,,PERSON TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B02T,MSG|URGENT|OMEGA,REF,,URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103B03T,ESCORT|MED|OMEGA,REF,,MEDICAL ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B04T,ESCORT|SEC|OMEGA,REF,,SECURITY ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B05T,ESCORT|PERSON|OMEGA,REF,,PERSON/ORGANIZATION ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B06T,FOUND|ORDNANCE|OMEGA,REF,,FOUND UNEXPLODED ORDNANCE,,0,,,,,,,,,,,,,,,,,,,
103A01T,MSG|NONURGENT|OMEGA,REF,,NON-URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103A02T,FOUND|PROPERTY|OMEGA,REF,,FOUND PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A03T,LOST|PROPERTY|OMEGA,REF,,LOST PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A04T,CHECK|PROPERTY|OMEGA,REF,,PROPERTY CHECK,,0,,,,,,,,,,,,,,,,,,,
103A05T,ADMIN|OTHER|OMEGA,REF,,OTHER,,0,,,,,,,,,,,,,,,,,,,
103D01R,TXPT|MED|OMEGA,REF,,BLOOD/ORGAN TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103C01R,TXPT|PRISONER|OMEGA,REF,,PRISONER TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B01R,TXPT|PERSON|OMEGA,REF,,PERSON TRANSPORT,,0,,,,,,,,,,,,,,,,,,,
103B02R,MSG|URGENT|OMEGA,REF,,URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103B03R,ESCORT|MED|OMEGA,REF,,MEDICAL ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B04R,ESCORT|SEC|OMEGA,REF,,SECURITY ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B05R,ESCORT|PERSON|OMEGA,REF,,PERSON/ORGANIZATION ESCORT,,0,,,,,,,,,,,,,,,,,,,
103B06R,FOUND|ORDNANCE|OMEGA,REF,,FOUND UNEXPLODED ORDNANCE,,0,,,,,,,,,,,,,,,,,,,
103A01R,MSG|NONURGENT|OMEGA,REF,,NON-URGENT MESSAGE DELIVERY,,0,,,,,,,,,,,,,,,,,,,
103A02R,FOUND|PROPERTY|OMEGA,REF,,FOUND PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A03R,LOST|PROPERTY|OMEGA,REF,,LOST PROPERTY,,0,,,,,,,,,,,,,,,,,,,
103A04R,CHECK|PROPERTY|OMEGA,REF,,PROPERTY CHECK,,0,,,,,,,,,,,,,,,,,,,
103A05R,ADMIN|OTHER|OMEGA,REF,,OTHER,,0,,,,,,,,,,,,,,,,,,,
104D01,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D01S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D01X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D02,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D02S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D02X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D03,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D03S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104D03X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C01,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C01S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C01X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C02,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C02S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C02X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C03,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C03S,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104C03X,,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
