postal_list,running_order,num_postals
"0611 HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),0611 HAWICK AVE / POPULAR ST RAMP TO ELGIN AVE (ROUTE 17 RAMP TO ELGIN AVE),0766 HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),0766 SB LOS SANTOS FWY / HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),0767 SB LOS SANTOS FWY / HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),611 HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),611 ROUTE 17 RAMP TO ELGIN AVE (HAWICK AVE / POPULAR ST RAMP TO ELGIN AVE) / ROUTE 17 (POPULAR ST) HAWICK AVE / POPULAR ST RAMP TO ELGIN AVE (ROUTE 17 RAMP TO ELGIN AVE),611 ROUTE 17 RAMP TO ELGIN AVE (HAWICK AVE / POPULAR ST RAMP TO ELGIN AVE) / ROUTE 17 (POPULAR ST) HAWICK AVE / POPULAR ST RAMP TO ELGIN AVE (ROUTE 17 RAMP TO ELGIN AVE),766,766 HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),766 HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (ROUTE 17 RAMP TO EB INTERSTATE 2 FWY) [C],766 SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY,766 SB LOS SANTOS FWY / HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY),767 SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY,767 SB LOS SANTOS FWY / HAWICK AVE / POPULAR ST RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY / ROUTE 17 RAMP TO EB INTERSTATE 2 FWY)","1,10,7,6,8,5,2,9,4,3,11,12",15
"0492 DIDION DR
[1](WILD OATS DR TO COX WAY),0492 WILD OATS DR,0493 DIDION DR,0493 DIDION DR,0493 DIDION DR,0493 DIDION DR,0493 DIDION DR
[1](DIDION DR S TO GENTRY LN),0493 DIDION DR
[2](WILD OATS DR TO COX WAY),0493 WILD OATS DR,0493 WILD OATS DR,0494 WILD OATS DR,0501 WHISPYMOUND DR,0501 WHISPYMOUND DR / WILD OATS DR,0501 WILD OATS DR,0501 WILD OATS DR,0501 WILD OATS DR
[1](DIDION DR TO WHISPYMOUND DR),0501 WILD OATS DR / WHISPYMOUND DR,0502 LAKE VINEWOOD DR,0502 WHISPYMOUND DR,0502 WHISPYMOUND DR,0502 WHISPYMOUND DR,0502 WHISPYMOUND DR,0502 WILD OATS DR,0502 WILD OATS DR,0502 WILD OATS DR,0502 WILD OATS DR,0502 WILD OATS DR,0502 WILD OATS DR,0502 WILD OATS DR
[1](BAYTREE CANYON RD TO WHISPYMOUND DR),0503 GENTRY LN,0504 DIDION DR,0504 DIDION DR,0504 DIDION DR
[1](GENTRY LN TO LAS LAGUNAS BLVD),0504 DIDION DR / GENTRY LN,0504 GENTRY LN,0504 GENTRY LN
[1](ROUTE 18 (ECLIPSE BLVD) TO DIDION DR),0504 GENTRY LN / DIDION DR,0505 DIDION DR,0505 DIDION DR,0505 DIDION DR,0505 LAS LAGUNAS BLVD,0505 WILD OATS DR,0505 WILD OATS DR,0505 WILD OATS DR,0508 BAYTREE CANYON RD / WHISPYMOUND DR,0508 WHISPYMOUND DR,0508 WHISPYMOUND DR / BAYTREE CANYON RD,0509 WHISPYMOUND DR,0509 WHISPYMOUND DR,0510 WHISPYMOUND DR,0510 WHISPYMOUND DR,0510 WHISPYMOUND DR,0510 WHISPYMOUND DR
[1](WHISPY TRAIL TO WILD OATS DR),0510 WILD OATS DR,0511 LAS LAGUNAS BLVD,0511 WILD OATS DR,0511 WILD OATS DR,0511 WILD OATS DR,0595 CLINTON AVE
[1](* CLINTON PL TO * CLINTON PL),0595 CLINTON AVE UNIT A [C],0595 LAS LAGUNAS BLVD,0597 * CLINTON PL,0597 CLINTON AVE,0597 CLINTON AVE
[1](* CLINTON PL TO LAS LAGUNAS BLVD),0597 CLINTON AVE / CLINTON PL,0597 CLINTON AVE / LAS LAGUNAS BLVD,0597 CLINTON AVE UNIT G [C],0597 CLINTON PL / CLINTON AVE,0597 DIDION DR,0597 DIDION DR / LAS LAGUNAS BLVD,0597 LAS LAGUNAS BLVD,0597 LAS LAGUNAS BLVD
[1](ROUTE 18 (ECLIPSE BLVD) TO CLINTON AVE),0597 LAS LAGUNAS BLVD
[2](BAYTREE CANYON RD TO DIDION DR),0597 LAS LAGUNAS BLVD / CLINTON AVE,0597 LAS LAGUNAS BLVD / DIDION DR,0598 LAS LAGUNAS BLVD
[1](ROUTE 18 (ECLIPSE BLVD) TO CLINTON AVE),0623 GENTRY LN,3655 WILD OATS DR - 0493 WILD OATS DR,3677 WHISPYMOUND DR - 0510 WHISPYMOUND DR,493,502,504,505,509,510,511,595,ADULT XXX BOOK STORE - 0595 CLINTON AVE UNIT E [C],FRUIT OF THE VINE A VINEWOOD - 0595 CLINTON AVE UNIT D [C],GENTRY MANOR HOTEL - 0504 GENTRY LN [C],GENTRY MANOR HOTEL - 0504 GENTRY LN BLDG 1,GENTRY MANOR HOTEL BUNGALOWS - 0504 GENTRY LN [C],GENTRY MANOR HOTEL BUNGALOWS - 0504 GENTRY LN UNIT 1 [C],GENTRY MANOR HOTEL BUNGALOWS - 0504 GENTRY LN UNIT 2 [C],GENTRY MANOR HOTEL BUNGALOWS - 0504 GENTRY LN UNIT 3 [C],GENTRY MANOR HOTEL BUNGALOWS - 0505 GENTRY LN UNIT 4 [C],GENTRY MANOR HOTEL BUNGALOWS - 0505 GENTRY LN UNIT 5 [C],GENTRY MANOR HOTEL LOUNGE - 0504 GENTRY LN BLDG L [C],GENTRY MANOR HOTEL RESTAURANT & BAR - 0504 GENTRY LN BLDG R,LAKE VINEWOOD DAM - 0502 LAKE VINEWOOD DR,MUSCLE GYM & SAUNA - 0597 CLINTON AVE [C],PARADISE SAUNA - 0597 CLINTON AVE UNIT F [C],TOOL SHED - 0595 CLINTON AVE UNIT B [C],UP-N-ATOM B VINEWOOD - 0597 VINEWOOD BLVD (ROUTE 18) [C],VINEWOOD WAX HAVEN / VINEWOOD WAX MUSEUM / VINEWOOD TOURS / VINEWOOD STAR MAPS - 0597 VINEWOOD BLVD (ROUTE 18) [C],WYSIWIG B VINEWOOD - 0595 CLINTON AVE UNIT C [C]","1,10,7,6,8,5,4,2,9,3,11,12",106
"_SB INTERSTATE 1 MM 1.0 / _MM1I1SB / _I1MM1SB - 586 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),0585 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),0586 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),0587 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),0591 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),0591 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),0591 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)
[2](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),0602 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)
[2](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),0611 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),585 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),586 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),587 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),591 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),591 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[2](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),591 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[3](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),602 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[1](ROUTE 18 RAMP TO SB INTERSTATE 1 FWY (VINEWOOD PARK DR RAMP TO SB LOS SANTOS FWY) TO SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST)),SB INTERSTATE 1 MM 1.0 / MM1I1S / I1MM1S - 586 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)","1,10,7,6,9,8,5,4,2,3,11,12",17
"_PALOMINO AVE MM 0.0 / _MM0R16V / _R16MM0V - 729 PALOMINO AVE,0661 MOVIE STAR WAY
[4](EB INTERSTATE 2 FWY RAMP TO ROUTE 16 (EB DEL PERRO FWY RAMP TO PALOMINO AVE) TO DECKER ST),0718 DECKER ST,0718 DECKER ST
[2](SAN ANDREAS AVE TO VESPUCCI BLVD),0718 DECKER ST / SAN ANDREAS AVE,0718 SAN ANDREAS AVE
[1](GINGER ST TO DECKER ST),0718 SAN ANDREAS AVE / DECKER ST,0718 WESTSIDE METRO RAIL
[1](GINGER ST TO DECKER ST),0726 GINGER ST
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0726 GINGER ST / VESPUCCI BLVD,0726 VESPUCCI BLVD / GINGER ST,0727 GINGER ST,0727 GINGER ST
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0727 WESTSIDE METRO RAIL,0727 WESTSIDE METRO RAIL
[1](PALOMINO AVE TO GINGER ST),0728 DECKER ST,0728 DECKER ST / MOVIE STAR WAY,0728 GINGER ST,0728 GINGER ST
[1](SAN ANDREAS AVE TO SAN ANDREAS AVE),0728 MOVIE STAR WAY,0728 MOVIE STAR WAY / DECKER ST,0728 SAN ANDREAS AVE,0729 GINGER ST,0729 GINGER ST
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0729 GINGER ST
[2](SAN ANDREAS AVE TO SAN ANDREAS AVE),0729 GINGER ST
[3](SAN ANDREAS AVE TO SAN ANDREAS AVE),0729 GINGER ST / PALOMINO AVE,0729 GINGER ST / SAN ANDREAS AVE,0729 PALOMINO AVE,0729 PALOMINO AVE
[1](ROUTE 16 RAMP TO SB INTERSTATE 5 FWY (PALOMINO AVE RAMP TO SB LA PUERTA FWY) TO SAN ANDREAS AVE),0729 PALOMINO AVE
[2](ROUTE 16 RAMP TO SB INTERSTATE 5 FWY (PALOMINO AVE RAMP TO SB LA PUERTA FWY) TO SAN ANDREAS AVE),0729 PALOMINO AVE / GINGER ST,0729 PALOMINO AVE / SAN ANDREAS AVE,0729 SAN ANDREAS AVE,0729 SAN ANDREAS AVE
[1](GINGER ST TO DECKER ST),0729 SAN ANDREAS AVE
[2](CALAIS AVE TO PALOMINO AVE),0729 SAN ANDREAS AVE / GINGER ST,0729 SAN ANDREAS AVE / PALOMINO AVE,0730 GINGER ST,0730 PALOMINO AVE,0730 PALOMINO AVE
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0730 SAN ANDREAS AVE,0730 WESTSIDE METRO RAIL,0730 WESTSIDE METRO RAIL
[1](CALAIS AVE TO PALOMINO AVE),0731 CALAIS AVE,0731 CALAIS AVE
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0731 PALOMINO AVE,0731 SAN ANDREAS AVE,0731 VESPUCCI BLVD
[1](CALAIS AVE TO PALOMINO AVE),0731 VESPUCCI BLVD
[1](CALAIS AVE TO PALOMINO AVE),0731 WESTSIDE METRO RAIL,0731 WESTSIDE METRO RAIL
[1](CALAIS AVE TO CALAIS AVE),0732 CALAIS AVE
[1](SAN ANDREAS AVE TO VESPUCCI BLVD),0732 CALAIS AVE / VESPUCCI BLVD,0732 PALOMINO AVE,0732 PALOMINO AVE / VESPUCCI BLVD,0732 VESPUCCI BLVD / CALAIS AVE,0732 VESPUCCI BLVD / PALOMINO AVE,0734 CALAIS AVE,0734 GINGER ST,0734 GINGER ST / SAN ANDREAS AVE,0734 PALOMINO AVE / EB DEL PERRO FWY RAMP TO SB LA PUERTA FWY (ROUTE 16 / EB INTERSTATE 2 FWY RAMP TO SB INTERSTATE 5 FWY),0734 PALOMINO AVE / EB DEL PERRO FWY RAMP TO SB LA PUERTA FWY (ROUTE 16 / EB INTERSTATE 2 FWY RAMP TO SB INTERSTATE 5 FWY),0734 SAN ANDREAS AVE
[2](LAS LAGUNAS BLVD TO GINGER ST),0734 SAN ANDREAS AVE
[3](CALAIS AVE TO GINGER ST),0734 SAN ANDREAS AVE / GINGER ST,0734 WESTSIDE METRO RAIL
[1](CALAIS AVE TO CALAIS AVE),0735 CALAIS AVE,0735 CALAIS AVE / SAN ANDREAS AVE,0735 GINGER ST,0735 SAN ANDREAS AVE,0735 SAN ANDREAS AVE,0735 SAN ANDREAS AVE
[1](CALAIS AVE TO PALOMINO AVE),0735 SAN ANDREAS AVE / CALAIS AVE,0735 WESTSIDE METRO RAIL,728,729,730,7302 SAN ANDREAS AVE - 0734 SAN ANDREAS AVE [C],731,734,734 ROUTE 16 / EB INTERSTATE 2 FWY RAMP TO SB INTERSTATE 5 FWY (PALOMINO AVE / EB DEL PERRO FWY RAMP TO SB LA PUERTA FWY),734 ROUTE 16 / EB INTERSTATE 2 FWY RAMP TO SB INTERSTATE 5 FWY (PALOMINO AVE / EB DEL PERRO FWY RAMP TO SB LA PUERTA FWY),735,ARIRANG PLAZA - 0730 VESPUCCI TRAIL UNIT P [C],BEAN MACHINE O KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE UNIT 1 BLDG D,BETSY O'NEILL PAVILION - 0735 GINGER ST [C],BIG DAN VISION OPTOMETRY A KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE UNIT 3 BLDG D,CAESARS AUTO PARKING C LITTLE SEOUL - 0734 VESPUCCI BLVD UNIT P [C],CM12+0262 - 0727 WESTSIDE METRO RAIL,CM13+0262 - 0730 WESTSIDE METRO RAIL,CM14+0262 - 0731 WESTSIDE METRO RAIL,CM15+0262 - 0734 WESTSIDE METRO RAIL,EUGENICS INC B KAYTON TOWERS / KAYTON GROUP - 0728 GINGER ST UNIT 5 BLDG D,KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE BLDG A [C],KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE BLDG B [C],KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE BLDG C [C],LADY N' BOY HAIR SALON / KAYTON TOWERS / KAYTON GROUP - 0728 GINGER ST UNIT 6 BLDG D,LITTLE SEOUL CHURCH - 0727 GINGER ST [C],LITTLE SEOUL TOWER / TOTAL BANKERS A LITTLE SEOUL / HIT 'N' RUN COFFEE / INTERNATIONAL ONLINE UNLIMITED - 0731 SAN ANDREAS AVE [C],LOMBANK A LITTLE SEOUL - 0729 GINGER ST,LST BUS STOP GIN1523 - 0727 GINGER ST,LST BUS STOP SAN0794 - 0735 SAN ANDREAS AVE,LST BUS STOP SAN2219 - 0729 SAN ANDREAS AVE,METRO STATION LITTLE SEOUL [I] - 0734 WESTSIDE METRO RAIL,METRO STATION LITTLE SEOUL [I] PORTAL - 0734 SAN ANDREAS AVE BLDG P1,MYOUNG KI PRINT / KAYTON TOWERS / KAYTON GROUP - 0728 GINGER ST UNIT 7 BLDG D,S.HO KOREAN NOODLE HOUSE A KAYTON TOWERS / KAYTON GROUP - 0728 SAN ANDREAS AVE UNIT 2 BLDG D,SNR. BUNS A LITTLE SEOUL / 23 SAN ANDREAS AVE - 0734 SAN ANDREAS AVE,TACO BOMB A LITTLE SEOUL - 0730 SAN ANDREAS AVE UNIT B,TRIAD RECORDS (NEW) [I] / WIWANG - 0727 SAN ANDREAS AVE [C],TW@ A KAYTON TOWERS / TOTALLY WIRELESS INTERNET CAFE / KAYTON GROUP - 0728 GINGER ST UNIT 4 BLDG D,VALDEZ THEATER - 0730 SAN ANDREAS AVE UNIT A [C]","1,10,8,6,5,7,4,2,3,9,11,12",113
"0662 WB INTERSTATE 2 FWY RAMP TO ROUTE 14 (WB INTERSTATE 2 FWY RAMP TO N ROCKFORD DR)
[1](WB INTERSTATE 2 FWY (WB DEL PERRO FWY) TO ROUTE 14 (N ROCKFORD DR)),0662 WESTSIDE METRO RAIL,0703 WB INTERSTATE 2 FWY RAMP TO ROUTE 14 (WB INTERSTATE 2 FWY RAMP TO N ROCKFORD DR)","1,10,8,6,7,5,4,2,3,9,11,12",3
"0677 BAY CITY AVE / WB INTERSTATE 2 FWY (WB DEL PERRO FWY),0677 RED DESERT AVE / WB INTERSTATE 2 FWY (WB DEL PERRO FWY),0677 WB DEL PERRO FWY (WB INTERSTATE 2 FWY),0677 WB DEL PERRO FWY (WB INTERSTATE 2 FWY)
[2](RED DESERT AVE TO BAY CITY AVE),0677 WB INTERSTATE 2 FWY (WB DEL PERRO FWY) / BAY CITY AVE WB DEL PERRO FWY (WB INTERSTATE 2 FWY),0677 WB INTERSTATE 2 FWY (WB DEL PERRO FWY) / RED DESERT AVE WB DEL PERRO FWY (WB INTERSTATE 2 FWY),0680 WB DEL PERRO FWY (WB INTERSTATE 2 FWY),0686 WB DEL PERRO FWY (WB INTERSTATE 2 FWY),0686 WB DEL PERRO FWY (WB INTERSTATE 2 FWY)
[1](WB EQUALITY WAY TO WB INTERSTATE 2 FWY (WB DEL PERRO FWY)),677 WB INTERSTATE 2 FWY (WB DEL PERRO FWY) / BAY CITY AVE WB DEL PERRO FWY (WB INTERSTATE 2 FWY),677 WB INTERSTATE 2 FWY (WB DEL PERRO FWY) / RED DESERT AVE WB DEL PERRO FWY (WB INTERSTATE 2 FWY)","1,10,8,6,7,5,4,9,3,2,11,12",11
0431 BANHAM CANYON DR,"1,4,8,10,5,6,7,3,2,9,11,12",1
"0602 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE),0602 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17),0610 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17),0611 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY),0611 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE),0611 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17),0758 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY),0766 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY),0766 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY) [C],602 SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE,602 SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST),602 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE),602 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17),610 SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST),610 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17),611 SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE,611 SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST),611 SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE (SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE),611 SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST (SB INTERSTATE 1 FWY RAMP TO ROUTE 17)","1,7,10,6,2,8,5,9,4,3,11,12",19
"0602 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),0602 SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)
[1](ROUTE 17 (POPULAR ST) TO SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE (SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE)),0611 ROUTE 17 (POPULAR ST) / SB INTERSTATE 1 FWY (SB LOS SANTOS FWY) POPULAR ST (ROUTE 17),0611 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY) / ROUTE 17 (POPULAR ST) SB LOS SANTOS FWY (SB INTERSTATE 1 FWY),602 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY)
[2](SB INTERSTATE 1 FWY RAMP TO ROUTE 17 (SB LOS SANTOS FWY RAMP TO HAWICK AVE / POPULAR ST) TO SB INTERSTATE 1 FWY RAMP TO EB INTERSTATE 2 FWY / ELGIN AVE (SB LOS SANTOS FWY RAMP TO EB DEL PERRO FWY / ELGIN AVE)),611 ROUTE 17 (POPULAR ST) / SB INTERSTATE 1 FWY (SB LOS SANTOS FWY) POPULAR ST (ROUTE 17),611 SB INTERSTATE 1 FWY (SB LOS SANTOS FWY) / ROUTE 17 (POPULAR ST) SB LOS SANTOS FWY (SB INTERSTATE 1 FWY)","1,7,10,6,9,8,5,4,2,3,11,12",7
432,"1,8,10,4,6,5,7,3,2,9,11,12",1
"0444 N ROCKFORD DR (ROUTE 14),0445 ACE JONES DR,0445 ACE JONES DR / ROUTE 14 (N ROCKFORD DR),0445 N ROCKFORD DR (ROUTE 14),0445 N ROCKFORD DR (ROUTE 14),0445 N ROCKFORD DR (ROUTE 14),0445 N ROCKFORD DR (ROUTE 14),0445 N ROCKFORD DR (ROUTE 14),0445 N ROCKFORD DR (ROUTE 14)
[1](BANHAM CANYON DR TO ACE JONES DR),0445 ROUTE 14 (N ROCKFORD DR) / ACE JONES DR N ROCKFORD DR (ROUTE 14),0446 N RICHMAN ST / ROUTE 14 (N ROCKFORD DR),0446 N ROCKFORD DR (ROUTE 14),0446 N ROCKFORD DR (ROUTE 14),0446 ROUTE 14 (N ROCKFORD DR) / N RICHMAN ST N ROCKFORD DR (ROUTE 14),0457 N ROCKFORD DR (ROUTE 14),445,446 ROUTE 14 (N ROCKFORD DR) / N RICHMAN ST N ROCKFORD DR (ROUTE 14),446 ROUTE 14 (N ROCKFORD DR) / N RICHMAN ST N ROCKFORD DR (ROUTE 14)","1,8,10,5,4,6,7,2,3,9,11,12",18
"0446 N ROCKFORD DR (ROUTE 14),0446 N ROCKFORD DR (ROUTE 14),0446 N ROCKFORD DR (ROUTE 14)
[1](N RICHMAN ST TO ROUTE 14 (N ROCKFORD DR)),0447 KORTZ DR / ROUTE 14 (N ROCKFORD DR),0447 N ROCKFORD DR (ROUTE 14),0447 N ROCKFORD DR (ROUTE 14),0447 N ROCKFORD DR (ROUTE 14),0447 N ROCKFORD DR (ROUTE 14)
[2](KORTZ DR TO RICHMAN ST),0447 N ROCKFORD DR (ROUTE 14)
[3](RICHMAN ST TO ROUTE 14 (N ROCKFORD DR)),0447 RICHMAN ST / ROUTE 14 (N ROCKFORD DR),0447 ROUTE 14 (N ROCKFORD DR) / KORTZ DR N ROCKFORD DR (ROUTE 14),0447 ROUTE 14 (N ROCKFORD DR) / RICHMAN ST N ROCKFORD DR (ROUTE 14),0456 N ROCKFORD DR (ROUTE 14),447 ROUTE 14 (N ROCKFORD DR) / RICHMAN ST N ROCKFORD DR (ROUTE 14),447 ROUTE 14 (N ROCKFORD DR) / RICHMAN ST N ROCKFORD DR (ROUTE 14)","1,8,10,5,6,4,7,2,3,9,11,12",15
