,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
FDALS1,ALARM|FIRE,FDALS1,FIRE ALARM,1,1,,,,,,,,,,,,,,,,,,,,
FDALS1,ALARM|FIRE|ROUTINE,FDALS1,"FIRE ALARM, ROUTINE",1,1,,,,,,,,,,,,,,,,,,,,
SCE,ALARM|HOME|ROUTINE,SCE,"RESIDENTIAL FIRE ALARM, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
SCE,ALARM|SINGLE|ROUTINE,SCE,"FIRE ALARM, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
_ALL,ALL,_ALL,ALL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
_ALL_AIR,ALL AIRCRAFT,_ALL_AIR,ALL AIRCRAFT,,,,,,,,,,,,,,,,,100,100,100,,,
_ALL_ALS,ALL ALS RESOURCES,_ALL_ALS,ALL ALS RESOURCES,100,,,100,,100,,,,,,,,,,,,,,,,
_ALL_ALSTX,ALL ALS TRANSPORTS,_ALL_ALSTX,ALL ALS TRANSPORTS,,,,100,,,,,,,,,,,,,,,,,,
_ALL_ARFF,ALL ARFF,_ALL_ARFF,ALL ARFF,,,,,,,,,,,,,100,,,,,,,,,
_ALL_ATTACK_TANKER,ALL ATTACK TANKERS,_ALL_ATTACK_TANKER,ALL ATTACK TANKERS,,,,,,,,,,,,100,,,,,,,,,,
_ALL_BLSTX,ALL BLS TRANSPORTS,_ALL_BLSTX,ALL BLS TRANSPORTS,,,,,100,,,,,,,,,,,,,,,,,
_ALL_BRUSH_ENGINES,ALL BRUSH ENGINES,_ALL_BRUSH_ENGINES,ALL BRUSH ENGINES,,,,,,,,100,,,,,,,,,,,,,,
_ALL_CHIEF,ALL CHIEFS,_ALL_CHIEF,ALL CHIEFS,,,,,,,,,,,,,,,,,,,,100,,
_ALL_EMSO,ALL EMS OFFICERS,_ALL_EMSO,ALL EMS OFFICERS,,,,,,100,,,,,,,,,,,100,,,,,
_ALL_TXPT,ALL EMS TRANSPORTS,_ALL_TXPT,ALL EMS TRANSPORTS,,,,100,100,,,,,,,,,,,,100,,,,,
_ALL_EMS,ALL EMS UNITS,_ALL_EMS,ALL EMS UNITS,,,,100,100,100,,,,,,,,,,,100,,,,,
_ALL_ENGINES,ALL ENGINES,_ALL_ENGINES,ALL ENGINES,100,,,,,,,,,,,,,,,,,,,,,
_ALL_FMO,ALL FIRE MARSHALS/INVESTIGATIONS,_ALL_FMO,ALL FIRE MARSHALS/INVESTIGATIONS,,,,,,,,,,,,,,,,,,,,,100,
_ALL_HM,ALL HAZMAT,_ALL_HM,ALL HAZMAT,,,,,,,,,,,,,,100,,,,,,,,
_ALL_HELO,ALL HELICOPTER,_ALL_HELO,ALL HELICOPTER,,,,,,,,,,,,,,,,,100,100,,,,
_ALL_KNIGHT,ALL KNIGHT TRUCKS,_ALL_KNIGHT,ALL KNIGHT TRUCKS,,,,,,,,,,100,,,,,,,,,,,,
_ALL_PATROL,ALL PATROL TRUCKS,_ALL_PATROL,ALL PATROL TRUCKS,,,,,,,,,100,,,,,,,,,,,,,
_ALL_PLANE,ALL PLANES,_ALL_PLANE,ALL PLANES,,,,,,,,,,,,,,,,,,,100,,,
_ALL_RESQ,ALL RESCUE/SQUADS,_ALL_RESQ,ALL RESCUE/SQUADS,,,100,,,,,,,,,,,,,,,,,,,
_ALL_SS,ALL SPECIAL SERVICES,_ALL_SS,ALL SPECIAL SERVICES,,100,100,,,,,,,,,,,,,,,,,,,
_ALL_SW,ALL SWIFT WATER,_ALL_SW,ALL SWIFT WATER,,,,,,,,,,,,,,,,100,,,,,,
_ALL_TANKERS,ALL TANKERS,_ALL_TANKERS,ALL TANKERS,,,,,,,100,,,,,,,,,,,,,,,
_ALL_TRUCKS,ALL TRUCKS,_ALL_TRUCKS,ALL TRUCKS,,100,,,,,,,,,,,,,,,,,,,,
_ALL_USAR,ALL USAR,_ALL_USAR,ALL USAR,,,,,,,,,,,,,,,100,,,,,,,
_ALL_WATER,ALL WATER,_ALL_WATER,ALL WATER,,,,,,,,,,,,,,,,100,,,,,,
_ALL_WILDLAND,ALL WILDLAND,_ALL_WILDLAND,ALL WILDLAND,,,,,,,,,,,100,,,,,,,,,,,
AUTOEX,AUTO EXTRICATION,AUTOEX,AUTO EXTRICATION,1,1,1,,,,,,,,,,,,,,,,,1,,
BOAT,BOAT IN DISTRESS,BOAT,BOAT IN DISTRESS,1,1,,,,,,,,,,,,,,2,,,,1,,
WTRRES,WATER/ICE RESCUE,WTRRES,WATER/ICE RESCUE,2,1,2,,,,,,,,,,,,,4,,,,2,,
CEIL,RESD CEIL CLPS,CEIL,RESIDENTIAL CEILING COLLAPSSE,1,1,,,,,,,,,,,,,,,,,,1,,
TECHMINOR,MINOR TECHNICAL,TECHMINOR,MINOR TECHNICAL,1,1,1,1,,,,,,,,,,,,,,,,1,,
TECHMAJOR,MAJOR TECHNICAL,TECHMAJOR,MAJOR TECHNICAL,3,2,2,2,1,1,,,,,,,,1,1,,,,,2,,
ALS1,ALLERGIC|ALS1,ALS1,"ALLERGIC REACTION, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ALS2,ALLERGIC|ALS2,ALS2,"ALLERGIC REACTION, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,ALLERGIC|BLS,BLSU9,"ALLERGIC REACTION, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,ALLERGIC|CPR,AL2D,"ALLERGIC REACTION WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSR,ALLERGIC|ROUTINE,BLSR,"ALLERGIC REACTION, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
SCT,ALRMELEV,SCT,ELEVATOR ALARM,1,1,,,,,,,,,,,,,,,,,,,,
FA,ALRMHOME,FA,ALRMHOME,1,,,,,,,,,,,,,,,,,,,,,
FA,ALRMSE,FA,ALRMSE,1,,,,,,,,,,,,,,,,,,,,,
AL1D,ANIMALBITE|ALS1,AL1D,"ANIMAL BITE, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,ANIMALBITE|ALS2,AL2D,"ANIMAL BITE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,ANIMALBITE|BLS,BLSU9,"ANIMAL BITE, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,ANIMALBITE|CPR,AL2D,"ANIMAL BITE WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSR,ANIMALBITE|ROUTINE,BLSR,"ANIMAL BITE, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
AL1D,APPLIANCE|ALS1,AL1D,"APPLIANCE FIRE, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
FC,APPLIANCE|BLS,FC,"APPLIANCE FIRE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
APPO,APPLIANCE|ODOR,APPO,"ELECTRICAL APPLIANCE, ODOR OF SMOKE",2,1,,,,,,,,,,,,,,,,,,,,
APPO1,APPLIANCE|ODOR|ALS1,APPO1,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
APPO2,APPLIANCE|ODOR|ALS2,APPO2,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
APPOB,APPLIANCE|ODOR|BLS,APPOB,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
APPOM,APPLIANCE|ODOR|MULT,APPOM,"ELECTRICAL APPLIANCE, ODOR OF SMOKE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
APPOR,APPLIANCE|ODOR|ROUTINE,APPOR,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, ROUTINE",2,1,,,,,,,,,,,,,,,,,,,,
APPOR1,APPLIANCE|ODOR|ROUTINE|ALS1,APPOR1,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, ROUTINE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,,
APPOR2,APPLIANCE|ODOR|ROUTINE|ALS2,APPOR2,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, ROUTINE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
APPORB,APPLIANCE|ODOR|ROUTINE|BLS,APPORB,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, ROUTINE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
APPORM,APPLIANCE|ODOR|ROUTINE|MULT,APPORM,"ELECTRICAL APPLIANCE, ODOR OF SMOKE, ROUTINE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
APP,APPLIANCE|PROBLEM,APP,ELECTRICAL APPLIANCE,1,,,,,,,,,,,,,,,,,,,,,
APP1,APPLIANCE|PROBLEM|ALS1,APP1,"ELECTRICAL APPLIANCE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
APP2,APPLIANCE|PROBLEM|ALS2,APP2,"ELECTRICAL APPLIANCE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
APPB,APPLIANCE|PROBLEM|BLS,APPB,"ELECTRICAL APPLIANCE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
APPM,APPLIANCE|PROBLEM|MULT,APPM,ELECTRICAL APPLIANCE WITH MULTIPLE PATIENTS,1,,,1,1,,,,,,,,,,,,,,,,,
APPR,APPLIANCE|PROBLEM|ROUTINE,APPR,"ELECTRICAL APPLIANCE, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
APPR1,APPLIANCE|PROBLEM|ROUTINE|ALS1,APPR1,"ELECTRICAL APPLIANCE, ROUTINE, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
APPR2,APPLIANCE|PROBLEM|ROUTINE|ALS2,APPR2,"ELECTRICAL APPLIANCE, ROUTINE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
APPRB,APPLIANCE|PROBLEM|ROUTINE|BLS,APPRB,"ELECTRICAL APPLIANCE, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
APPRM,APPLIANCE|PROBLEM|ROUTINE|MULT,APPRM,"ELECTRICAL APPLIANCE, ROUTINE WITH MULTIPLE PATIENTS",1,,,1,1,,,,,,,,,,,,,,,,,
SE,APPLIANCE|SVC,SE,"SERVICE CALL, APPLIANCE",1,,,,,,,,,,,,,,,,,,,,,
SE,APPLIANCE|SVC|ROUTINE,SE,"SERVICE CALL, APPLIANCE, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
HMADAPT,APPLIANCEH,HMADAPT,APPLIANCEH,2,1,,2,,,,,,,,,,1,,,,,,1,,
AL1D,ASSAULT|ALS1,AL1D,"ASSAULT, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,ASSAULT|ALS2,AL2D,"ASSAULT, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,ASSAULT|BLS,BLSU9,"ASSAULT, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,ASSAULT|CPR,AL2D,"ASSAULT WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
MLTP,ASSAULT|MULT,MLTP,ASSAULT WITH MULTIPLE PATIENTS,2,,,1,1,,,,,,,,,,,,,,,,,
BLSR,ASSAULT|ROUTINE,BLSR,"ASSAULT, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
FC,AUTO,FC,VEHICLE FIRE,1,,,1,,,,,,,,,,,,,,,,,,
AVA,AVALANCHE,AVA,AVALANCHE RESCUE,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVA1,AVALANCHE|ALS1,AVA1,"AVALANCHE RESCUE, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVA2,AVALANCHE|ALS2,AVA2,"AVALANCHE RESCUE, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAB,AVALANCHE|BLS,AVAB,"AVALANCHE RESCUE, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAI,AVALANCHE|INVEST,AVAI,AVALANCHE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,,,,,,,
AVAM,AVALANCHE|MULT,AVAM,AVALANCHE RESCUE WITH MULTIPLE PATIENTS,1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAR,AVALANCHE|ROUTINE,AVAR,"AVALANCHE RESCUE, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAW,AVALANCHE|WTR,AVAW,"AVALANCHE RESCUE, RISING WATER",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAW1,AVALANCHE|WTR|ALS1,AVAW1,"AVALANCHE RESCUE, RISING WATER, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAW2,AVALANCHE|WTR|ALS2,AVAW2,"AVALANCHE RESCUE, RISING WATER, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAWB,AVALANCHE|WTR|BLS,AVAWB,"AVALANCHE RESCUE, RISING WATER, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAWI,AVALANCHE|WTR|INVEST,AVAWI,AVALANCHE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,1,,,,1,,
AVAWM,AVALANCHE|WTR|MULT,AVAWM,"AVALANCHE RESCUE, RISING WATER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAWR,AVALANCHE|WTR|ROUTINE,AVAWR,"AVALANCHE RESCUE, RISING WATER, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
AVAX,AVALANCHE|WX,AVAX,"AVALANCHE RESCUE, INCLEMENT WEATHER",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAX1,AVALANCHE|WX|ALS1,AVAX1,"AVALANCHE RESCUE, INCLEMENT WEATHER, A-L-S ONE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAX2,AVALANCHE|WX|ALS2,AVAX2,"AVALANCHE RESCUE, INCLEMENT WEATHER, A-L-S TWO",1,,1,2,,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAXB,AVALANCHE|WX|BLS,AVAXB,"AVALANCHE RESCUE, INCLEMENT WEATHER, B-L-S",1,,1,,1,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAXI,AVALANCHE|WX|INVEST,AVAXI,AVALANCHE INVESTIGATION,1,,,1,,,,1,1,1,1,,,,,,,,,1,,
AVAXM,AVALANCHE|WX|MULT,AVAXM,"AVALANCHE RESCUE, INCLEMENT WEATHER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
AVAXR,AVALANCHE|WX|ROUTINE,AVAXR,"AVALANCHE RESCUE, INCLEMENT WEATHER, ROUTINE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCR,BackCountryRescue,BCR,BACK COUNTRY RESCUE,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRC,BackCountryRescue|CREVASSE,BCRC,BACK COUNTRY RESCUE INVOLVING A CREVASSE,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRI,BackCountryRescue|INACCESS,BCRI,BACK COUNTRY RESCUE INVOLVING INACCESSIBLE AREA,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRM,BackCountryRescue|MULT,BCRM,BACK COUNTRY RESCUE WITH MULTIPLE PATIENTS,1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRT,BackCountryRescue|TERRAIN,BCRT,BACK COUNTRY RESCUE INVOLVING HIGH ANGLE TERRAIN,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRTC,BackCountryRescue|TRAP|CREVASSE,BCRTC,BACK COUNTRY RESCUE WITH ENTRAPMENT INVOLVING A CREVASSE,1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRTI,BackCountryRescue|TRAP|INACCESS,BCRTI,BACK COUNTRY RESCUE WITH ENTRAPMENT INVOLVING INACCESSIBLE AREA,1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRTT,BackCountryRescue|TRAP|TERRAIN,BCRTT,BACK COUNTRY RESCUE WITH ENTRAPMENT INVOLVING HIGH ANGLE TERRAIN,1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRW,BackCountryRescue|WTR,BCRW,"BACK COUNTRY RESCUE, RISING WATER",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWC,BackCountryRescue|WTR|CREVASSE,BCRWC,"BACK COUNTRY RESCUE, RISING WATER INVOLVING A CREVASSE",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWI,BackCountryRescue|WTR|INACCESS,BCRWI,"BACK COUNTRY RESCUE, RISING WATER INVOLVING INACCESSIBLE AREA",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWM,BackCountryRescue|WTR|MULT,BCRWM,"BACK COUNTRY RESCUE, RISING WATER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWT,BackCountryRescue|WTR|TERRAIN,BCRWT,"BACK COUNTRY RESCUE, RISING WATER INVOLVING HIGH ANGLE TERRAIN",1,,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWTC,BackCountryRescue|WTR|TRAP|CREVASSE,BCRWTC,"BACK COUNTRY RESCUE, RISING WATER WITH ENTRAPMENT INVOLVING A CREVASSE",1,1,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWTI,BackCountryRescue|WTR|TRAP|INACCESS,BCRWTI,"BACK COUNTRY RESCUE, RISING WATER WITH ENTRAPMENT INVOLVING INACCESSIBLE AREA",1,1,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRWTT,BackCountryRescue|WTR|TRAP|TERRAIN,BCRWTT,"BACK COUNTRY RESCUE, RISING WATER WITH ENTRAPMENT INVOLVING HIGH ANGLE TERRAIN",1,1,1,1,,1,,1,1,1,1,,,,1,2,1,1,,1,,
BCRX,BackCountryRescue|WX,BCRX,"BACK COUNTRY RESCUE, INCLEMENT WEATHER",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXC,BackCountryRescue|WX|CREVASSE,BCRXC,"BACK COUNTRY RESCUE, INCLEMENT WEATHER INVOLVING A CREVASSE",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXI,BackCountryRescue|WX|INACCESS,BCRXI,"BACK COUNTRY RESCUE, INCLEMENT WEATHER INVOLVING INACCESSIBLE AREA",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXM,BackCountryRescue|WX|MULT,BCRXM,"BACK COUNTRY RESCUE, INCLEMENT WEATHER WITH MULTIPLE PATIENTS",1,,1,2,1,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXT,BackCountryRescue|WX|TERRAIN,BCRXT,"BACK COUNTRY RESCUE, INCLEMENT WEATHER INVOLVING HIGH ANGLE TERRAIN",1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXTC,BackCountryRescue|WX|TRAP|CREVASSE,BCRXTC,"BACK COUNTRY RESCUE, INCLEMENT WEATHER WITH ENTRAPMENT INVOLVING A CREVASSE",1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXTI,BackCountryRescue|WX|TRAP|INACCESS,BCRXTI,"BACK COUNTRY RESCUE, INCLEMENT WEATHER WITH ENTRAPMENT INVOLVING INACCESSIBLE AREA",1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
BCRXTT,BackCountryRescue|WX|TRAP|TERRAIN,BCRXTT,"BACK COUNTRY RESCUE, INCLEMENT WEATHER WITH ENTRAPMENT INVOLVING HIGH ANGLE TERRAIN",1,1,1,1,,1,,1,1,1,1,,,,1,,1,1,,1,,
ALS1,BACKPAIN|ALS1,ALS1,"BACK PAIN, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
