REGEX:,"\[{0,}([A-Za-z9]{1,})[0-9]{0,}[A-Z0-9a-z\]]{0,}",,,,QGIS Base URL,https://qgiscloud.com/jpeterson24/DOJRP_GTA_V/?l=address_cids_info%2Caddress_cross_streets%2Caddress_cids_info_bldg_occupancy!%2Caddress_cids_info_bldg_class!%2Caddress_cids_info_bldg_height!%2Chydrants!%2Cfire_stations_3857%2Cradio_towers_3857%2Cstreet_network_3857%2Cpostals_3857%2Cfire_box_3857%2Cfire_area_3857!%2Cpolice_jurisdiction_3857!%2Czip_3857!%2Cjurisdiction_3857!%2CRadio%20Coverage!%2CSatellite%2CGTA%20Terrain&t=DOJRP_GTA_V&e=-911%2C-2137%2C1527%2C-940&st=
AIROPS06,AIROPS,,,,,
AIROPS07,AIROPS,,,,,
AIROPS08,AIROPS,,,,,
AIROPS09,AIROPS,,,,,
AIROPS11,AIROPS,,,,,
AIROPS20,AIROPS,,,,,
AIROPS21,AIROPS,,,,,
AIROPS22,AIROPS,,,,,
AIROPS23,AIROPS,,,,,
AMR,AMR,,,,,
AMR401,AMR,,,,,
AMR402,AMR,,,,,
AMR403,AMR,,,,,
AMR404,AMR,,,,,
AMR601,AMR,,,,,
AMR602,AMR,,,,,
AMR603,AMR,,,,,
AMR604,AMR,,,,,
AMR801,AMR,,,,,
AMR802,AMR,,,,,
AMR803,AMR,,,,,
AMR804,AMR,,,,,
AMR901,AMR9,,,,,
AMR902,AMR9,,,,,
AMR903,AMR9,,,,,
AMR904,AMR9,,,,,
AR01/AR02,AR,,,,,
AR03,AR,,,,,
AR04,AR,,,,,
AR05/AR06,AR,,,,,
AR06,AR,,,,,
ARCHER,ARCHER,,,,,
AT031,AT,,,,,
AT041*,AT,,,,,
AT042*,AT,,,,,
AT071*,AT,,,,,
AT201,AT,,,,,
AT202,AT,,,,,
AT203,AT,,,,,
AT204,AT,,,,,
AT211,AT,,,,,
AT221,AT,,,,,
AT231,AT,,,,,
ATV011,ATV,,,,,
ATV031,ATV,,,,,
ATV041*,ATV,,,,,
ATV042*,ATV,,,,,
ATV071*,ATV,,,,,
ATV072*,ATV,,,,,
ATV091,ATV,,,,,
ATV201,ATV,,,,,
ATV202,ATV,,,,,
ATV203,ATV,,,,,
ATV204,ATV,,,,,
ATV211,ATV,,,,,
ATV212,ATV,,,,,
ATV221,ATV,,,,,
ATV222,ATV,,,,,
ATV231,ATV,,,,,
ATV232,ATV,,,,,
ATV241,ATV,,,,,
BC20,BC,,,,,
BC21,BC,,,,,
BC22,BC,,,,,
BC220,BC,,,,,
BC23,BC,,,,,
BC24,BC,,,,,
BC25,BC,,,,,
BC26,BC,,,,,
BC27,BC,,,,,
BC30,BC,,,,,
BC31,BC,,,,,
BC32,BC,,,,,
BC33,BC,,,,,
BC34,BC,,,,,
BC35,BC,,,,,
BC36,BC,,,,,
BC37,BC,,,,,
BC38,BC,,,,,
BC39,BC,,,,,
BIKE011,BIKE,,,,,
BIKE012,BIKE,,,,,
BIKE021,BIKE,,,,,
BIKE031,BIKE,,,,,
BIKE041*,BIKE,,,,,
BIKE042*,BIKE,,,,,
BIKE071 BIKE072* BIKE073*,BIKE,,,,,
BIKE091,BIKE,,,,,
BIKE211,BIKE,,,,,
BIKE221,BIKE,,,,,
BIKE231,BIKE,,,,,
BLADE041*,BLADE,,,,,
BLADE042*,BLADE,,,,,
BLADE071*,BLADE,,,,,
BLADE201,BLADE,,,,,
BLADE211,BLADE,,,,,
BLADE221,BLADE,,,,,
BLADE231,BLADE,,,,,
BWDS08 [LG],BWDS,,,,,
BWDS20,BWDS,,,,,
BWDS21,BWDS,,,,,
BWDS22,BWDS,,,,,
BWDS23,BWDS,,,,,
CD01,CD,,,,,
CF01,CF,,,,,
CM01,CM,,,,,
CM20,CM,,,,,
CM21,CM,,,,,
CM22,CM,,,,,
CM30,CM,,,,,
CM31,CM,,,,,
CM40,CM,,,,,
CM41,CM,,,,,
CRASH012,CRASH,,,,,
CRASH021,CRASH,,,,,
CRASH041,CRASH,,,,,
CRASH042,CRASH,,,,,
CRASH043,CRASH,,,,,
CRASH051,CRASH,,,,,
CRASH052,CRASH,,,,,
CRASH053,CRASH,,,,,
CRASH054,CRASH,,,,,
CRASH201,CRASH,,,,,
CRASH202,CRASH,,,,,
CRASH203,CRASH,,,,,
CRASH204,CRASH,,,,,
CRASH205,CRASH,,,,,
CRASH206,CRASH,,,,,
CRASH207,CRASH,,,,,
CRASH241,CRASH,,,,,
CRASH242,CRASH,,,,,
CRASH243,CRASH,,,,,
CRASH244,CRASH,,,,,
CRASH245,CRASH,,,,,
CRASH246,CRASH,,,,,
CRASH247,CRASH,,,,,
D21,D,,,,,
D22,D,,,,,
D23,D,,,,,
D30,D,,,,,
D31,D,,,,,
D32,D,,,,,
D33,D,,,,,
D40,D,,,,,
D41,D,,,,,
D42,D,,,,,
D43,D,,,,,
DC01,DC,,,,,
DIVE01 MARSUP01,DIVE,,,,,
DIVE09 MARSUP09,DIVE,,,,,
DIVE20,DIVE,,,,,
DIVE21,DIVE,,,,,
DIVE22,DIVE,,,,,
DIVE23,DIVE,,,,,
E001,E,,,,,
E002,E,,,,,
E003,E,,,,,
E004,E,,,,,
E005,E,,,,,
E006,E,,,,,
E007,E,,,,,
E008,E,,,,,
E009,E,,,,,
E010,E,,,,,
E011,E,,,,,
E012,E,,,,,
E020,E,,,,,
E021,E,,,,,
E022,E,,,,,
E023,E,,,,,
E024,E,,,,,
E025,E,,,,,
E026,E,,,,,
E027,E,,,,,
E028,E,,,,,
E029,E,,,,,
E030,E,,,,,
E031,E,,,,,
E032,E,,,,,
E033,E,,,,,
E034,E,,,,,
E035,E,,,,,
E036,E,,,,,
E037,E,,,,,
E038,E,,,,,
E039,E,,,,,
E040,E,,,,,
E041,E,,,,,
E042,E,,,,,
E043,E,,,,,
E201,E,,,,,
E220,E,,,,,
E221,E,,,,,
E222,E,,,,,
E223,E,,,,,
E224,E,,,,,
E225,E,,,,,
E226,E,,,,,
E227,E,,,,,
E228,E,,,,,
E229,E,,,,,
E230,E,,,,,
E231,E,,,,,
E232,E,,,,,
E233,E,,,,,
E234,E,,,,,
E235,E,,,,,
E236,E,,,,,
E237,E,,,,,
E238,E,,,,,
E239,E,,,,,
E240,E,,,,,
E241,E,,,,,
E242,E,,,,,
E243,E,,,,,
E301,E,,,,,
E302,E,,,,,
E303,E,,,,,
E304,E,,,,,
E307,E,,,,,
E309,E,,,,,
E311,E,,,,,
E320,E,,,,,
E321,E,,,,,
E322,E,,,,,
E323,E,,,,,
E324,E,,,,,
E325,E,,,,,
E326,E,,,,,
E327,E,,,,,
E328,E,,,,,
E329,E,,,,,
E330,E,,,,,
E331,E,,,,,
E332,E,,,,,
E333,E,,,,,
E334,E,,,,,
E335,E,,,,,
E336,E,,,,,
E337,E,,,,,
E338,E,,,,,
E343,E,,,,,
E429,E,,,,,
E430,E,,,,,
E431,E,,,,,
E432,E,,,,,
FA01,FA,,,,,
FC20,FC,,,,,
FC36,FC,,,,,
FH041*,FH,,,,,
FH042*,FH,,,,,
FH051,FH,,,,,
FH201,FH,,,,,
FH211,FH,,,,,
FH221,FH,,,,,
FH231,FH,,,,,
GR041*,GR,,,,,
GR051,GR,,,,,
GR201,GR,,,,,
GR211,GR,,,,,
GR221,GR,,,,,
GR231,GR,,,,,
GUARDIAN02,GUARDIAN,,,,,
GUARDIAN07,GUARDIAN,,,,,
GUARDIAN11,GUARDIAN,,,,,
HM04,HM,,,,,
HM07,HM,,,,,
HM20,HM,,,,,
HM21,HM,,,,,
HM22,HM,,,,,
HM23,HM,,,,,
HM24,HM,,,,,
HM27,HM,,,,,
HM30,HM,,,,,
HM38,HM,,,,,
HM39,HM,,,,,
K920,K9,,,,,
K936,K9,,,,,
KT011,KT,,,,,
KT021,KT,,,,,
KT031,KT,,,,,
KT041*,KT,,,,,
KT042*,KT,,,,,
KT071,KT,,,,,
KT072*,KT,,,,,
KT073*,KT,,,,,
KT091,KT,,,,,
KT201,KT,,,,,
KT202,KT,,,,,
KT203,KT,,,,,
KT204,KT,,,,,
KT211,KT,,,,,
KT221,KT,,,,,
KT231,KT,,,,,
L021,L,,,,,
L027,L,,,,,
L033,L,,,,,
L037,L,,,,,
L224,L,,,,,
L242,L,,,,,
LF01,LF,,,,,
LF06,LF,,,,,
LF07,LF,,,,,
LF08,LF,,,,,
LF20,LF,,,,,
LF21,LF,,,,,
LF22,LF,,,,,
LF23,LF,,,,,
LF24,LF,,,,,
LF27,LF,,,,,
LF29,LF,,,,,
LF30,LF,,,,,
LF32,LF,,,,,
LF33,LF,,,,,
LF35,LF,,,,,
LF36,LF,,,,,
LF37,LF,,,,,
LF38,LF,,,,,
LF39,LF,,,,,
LF42,LF,,,,,
LF43,LF,,,,,
M001,M,,,,,
M002,M,,,,,
M003,M,,,,,
M004,M,,,,,
M005,M,,,,,
M006,M,,,,,
M007,M,,,,,
M008,M,,,,,
M009,M,,,,,
M011,M,,,,,
M020,M,,,,,
M021,M,,,,,
M022,M,,,,,
M023,M,,,,,
M024,M,,,,,
M025,M,,,,,
M026,M,,,,,
M027,M,,,,,
M028,M,,,,,
M029,M,,,,,
M030,M,,,,,
M031,M,,,,,
M032,M,,,,,
M033,M,,,,,
M034,M,,,,,
M035,M,,,,,
M036,M,,,,,
M037,M,,,,,
M038,M,,,,,
M039,M,,,,,
M040,M,,,,,
M041,M,,,,,
M042,M,,,,,
M043,M,,,,,
M201,M,,,,,
M220,M,,,,,
M221,M,,,,,
M222,M,,,,,
M223,M,,,,,
M224,M,,,,,
M225,M,,,,,
M226,M,,,,,
M227,M,,,,,
M228,M,,,,,
M229,M,,,,,
M230,M,,,,,
M231,M,,,,,
M232,M,,,,,
M233,M,,,,,
M234,M,,,,,
M235,M,,,,,
M236,M,,,,,
M237,M,,,,,
M238,M,,,,,
M239,M,,,,,
M240,M,,,,,
M241,M,,,,,
M242,M,,,,,
M243,M,,,,,
MARINE08,MARINE,,,,,
MARINE09,MARINE,,,,,
MARINE20,MARINE,,,,,
MARINE21,MARINE,,,,,
MARINE22,MARINE,,,,,
MARINE23,MARINE,,,,,
MARRES04,MARRES,,,,,
MARRES07,MARRES,,,,,
MARSUP02,MARSUP,,,,,
MARSUP03,MARSUP,,,,,
MARSUP04,MARSUP,,,,,
MARSUP07,MARSUP,,,,,
MARSUP08,MARSUP,,,,,
MARSUP11,MARSUP,,,,,
PH041*,PH,,,,,
PH051,PH,,,,,
PH201,PH,,,,,
PH211,PH,,,,,
PH221,PH,,,,,
PH231,PH,,,,,
PT021,PT,,,,,
PT041,PT,,,,,
PT091,PT,,,,,
PT111,PT,,,,,
PT121,PT,,,,,
PT201,PT,,,,,
PT202,PT,,,,,
PT211,PT,,,,,
PT212,PT,,,,,
PT221,PT,,,,,
PT222,PT,,,,,
PT231,PT,,,,,
PT232,PT,,,,,
PT241,PT,,,,,
QNT22,QNT,,,,,
QNT23,QNT,,,,,
QNT29,QNT,,,,,
QNT33,QNT,,,,,
QNT36,QNT,,,,,
R003,R,,,,,
R004,R,,,,,
R006,R,,,,,
R007,R,,,,,
R008,R,,,,,
R020,R,,,,,
R021,R,,,,,
R022,R,,,,,
R023,R,,,,,
R024,R,,,,,
R026,R,,,,,
R027,R,,,,,
R029,R,,,,,
R030,R,,,,,
R031,R,,,,,
R033,R,,,,,
R034,R,,,,,
R036,R,,,,,
R037,R,,,,,
R040,R,,,,,
R042,R,,,,,
R220,R,,,,,
R221,R,,,,,
R222,R,,,,,
R223,R,,,,,
R224,R,,,,,
R226,R,,,,,
R227,R,,,,,
R229,R,,,,,
R230,R,,,,,
R234,R,,,,,
R236,R,,,,,
R240,R,,,,,
R242,R,,,,,
R243,R,,,,,
RB03,RB,,,,,
RB08,RB,,,,,
RB11,RB,,,,,
RB20,RB,,,,,
RB21,RB,,,,,
RB22,RB,,,,,
RB23,RB,,,,,
S001,S,,,,,
S004,S,,,,,
S005,S,,,,,
S006,S,,,,,
S007,S,,,,,
S008,S,,,,,
S009,S,,,,,
S020,S,,,,,
S021,S,,,,,
S022,S,,,,,
S023,S,,,,,
SO20,SO,,,,,
SPRINT11,SPRINT,,,,,
SPRINT12,SPRINT,,,,,
SPRINT21,SPRINT,,,,,
SPRINT22,SPRINT,,,,,
SS01,SS,,,,,
SS02,SS,,,,,
SS03,SS,,,,,
SS04,SS,,,,,
SS07,SS,,,,,
SS09,SS,,,,,
SS11,SS,,,,,
SS20,SS,,,,,
SW01 MARRES01,SW,,,,,
SW09 MARRES09,SW,,,,,
SW20,SW,,,,,
SW21,SW,,,,,
SW22,SW,,,,,
SW23,SW,,,,,
T001,T,,,,,
T006,T,,,,,
T007,T,,,,,
T008,T,,,,,
T009,T,,,,,
T010,T,,,,,
T011,T,,,,,
T020,T,,,,,
T029,T,,,,,
T036,T,,,,,
T038,T,,,,,
T039,T,,,,,
T042,T,,,,,
T043,T,,,,,
T220,T,,,,,
T221,T,,,,,
TL024,TL,,,,,
TL030,TL,,,,,
TL032,TL,,,,,
TL035,TL,,,,,
TL243,TL,,,,,
TNK01,TNK,,,,,
TNK02,TNK,,,,,
TNK04,TNK,,,,,
TNK05,TNK,,,,,
TNK07,TNK,,,,,
TNK09,TNK,,,,,
TNK11,TNK,,,,,
TNK20,TNK,,,,,
TNK21,TNK,,,,,
TNK22,TNK,,,,,
TNK23,TNK,,,,,
TNK24,TNK,,,,,
TNK25,TNK,,,,,
TNK26,TNK,,,,,
TNK27,TNK,,,,,
TNK28,TNK,,,,,
TNK29,TNK,,,,,
TNK30,TNK,,,,,
TNK31,TNK,,,,,
TNK32,TNK,,,,,
TNK33,TNK,,,,,
TNK34,TNK,,,,,
TNK35,TNK,,,,,
TNK36,TNK,,,,,
TNK37,TNK,,,,,
TNK38,TNK,,,,,
TNK39,TNK,,,,,
TNK40,TNK,,,,,
TNK41,TNK,,,,,
TNK42,TNK,,,,,
TNK43,TNK,,,,,
U001,U,,,,,
U002,U,,,,,
U003,U,,,,,
U004,U,,,,,
U007,U,,,,,
U009,U,,,,,
U011,U,,,,,
U020,U,,,,,
UK902,UK9,,,,,
UK903,UK9,,,,,
UK906,UK9,,,,,
US02,US,,,,,
US03,US,,,,,
US06,US,,,,,
US11,US,,,,,
USAR03,USAR,,,,,
USAR06,USAR,,,,,
USAR20,USAR,,,,,
USAR36,USAR,,,,,
UTV01 ATV01,UTV,,,,,
UTV02 ATV02,UTV,,,,,
UTV03 ATV03,UTV,,,,,
UTV04 ATV04,UTV,,,,,
UTV06 ATV06,UTV,,,,,
UTV09 ATV09,UTV,,,,,
UTV11 ATV11,UTV,,,,,
UU01,UU,,,,,
UU04,UU,,,,,
UU07,UU,,,,,
UU09,UU,,,,,
UU20,UU,,,,,
UU36,UU,,,,,
WL011,WL,,,,,
WL031,WL,,,,,
WL041*,WL,,,,,
WL042*,WL,,,,,
WL043*,WL,,,,,
WL071*,WL,,,,,
WL072*,WL,,,,,
WL091,WL,,,,,
WL201,WL,,,,,
WL202,WL,,,,,
WL203,WL,,,,,
WL204,WL,,,,,
WL211,WL,,,,,
WL212,WL,,,,,
WL221,WL,,,,,
WL222,WL,,,,,
WL231,WL,,,,,
WL232,WL,,,,,
WL241,WL,,,,,
